#p(bar)         	T(K)            	e-              	C               	H               	He              	N               	O               	Si              	SiO2(s,l)       	SiC(s)          	C(s)            	Si(s,l)         
1.7156585442e-07	9.2000000000e+02	0.0000000000e+00	9.9865776475e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9664235175e-01	9.9848491596e-01	2.7021416009e+10	4.4151863969e+09	0.0000000000e+00	5.3426340659e+11
2.7434172991e-07	9.2000000000e+02	0.0000000000e+00	9.9866156796e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9740122199e-01	9.9855347826e-01	4.3242679169e+10	7.0603239628e+09	0.0000000000e+00	8.5436647482e+11
4.3876850100e-07	9.2000000000e+02	0.0000000000e+00	9.7753126241e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7673927015e-01	9.7746334267e-01	6.7388992479e+10	1.0997768263e+10	0.0000000000e+00	1.3308588973e+12
7.0182803590e-07	9.2000000000e+02	0.0000000000e+00	9.7753517602e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7704004924e-01	9.7749271972e-01	1.0782601093e+11	1.7591673718e+10	0.0000000000e+00	2.1288247247e+12
1.1226860837e-06	9.2000000000e+02	0.0000000000e+00	9.7753770074e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7722819044e-01	9.7751116838e-01	1.7251953946e+11	2.8140992718e+10	0.0000000000e+00	3.4054575478e+12
1.7959994746e-06	9.2000000000e+02	0.0000000000e+00	9.7753939009e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7734592723e-01	9.7752281792e-01	2.7602008265e+11	4.5018418588e+10	0.0000000000e+00	5.4478904412e+12
2.8732057577e-06	9.2000000000e+02	0.0000000000e+00	9.7754061591e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7741970559e-01	9.7753027806e-01	4.4160642711e+11	7.2019930919e+10	0.0000000000e+00	8.7154964485e+12
4.5965836130e-06	9.2000000000e+02	0.0000000000e+00	9.7754165384e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7746610890e-01	9.7753522576e-01	7.0652143791e+11	1.1521857575e+11	0.0000000000e+00	1.3943209421e+13
7.3537446984e-06	9.2000000000e+02	0.0000000000e+00	9.7754275095e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7749558346e-01	9.7753878707e-01	1.1303486975e+12	1.8433040972e+11	0.0000000000e+00	2.2306824819e+13
1.1764812905e-05	9.2000000000e+02	0.0000000000e+00	9.7754419321e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7751479617e-01	9.7754180210e-01	1.8084142362e+12	2.9489986397e+11	0.0000000000e+00	3.5687463411e+13
1.8821898855e-05	9.2000000000e+02	0.0000000000e+00	9.7754639374e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7752815633e-01	9.7754503762e-01	2.8932282338e+12	4.7179614881e+11	0.0000000000e+00	5.7094692105e+13
3.0112239393e-05	9.2000000000e+02	0.0000000000e+00	9.7755003218e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7753885329e-01	9.7754940605e-01	4.6287910659e+12	7.5480738228e+11	0.0000000000e+00	9.1343503987e+13
4.8175189272e-05	9.2000000000e+02	0.0000000000e+00	9.7755629659e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7754966259e-01	9.7755625963e-01	7.4054849045e+12	1.2075914871e+12	0.0000000000e+00	1.4613752438e+14
7.7073357450e-05	9.2000000000e+02	0.0000000000e+00	9.7756731943e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7756373886e-01	9.7756786333e-01	1.1847912112e+13	1.9319994978e+12	0.0000000000e+00	2.3380237413e+14
1.2330634459e-04	9.2000000000e+02	0.0000000000e+00	9.7758697329e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7758564143e-01	9.7758822037e-01	1.8955481204e+13	3.0909999649e+12	0.0000000000e+00	3.7405992975e+14
1.9727259426e-04	9.2000000000e+02	0.0000000000e+00	9.7762232484e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7762294270e-01	9.7762455556e-01	3.0327490340e+13	4.9453814233e+12	0.0000000000e+00	5.9847002030e+14
3.1560814899e-04	9.2000000000e+02	0.0000000000e+00	9.7768627365e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7768898075e-01	9.7768998969e-01	4.8523711578e+13	7.9125488577e+12	0.0000000000e+00	9.5754603634e+14
5.0492833152e-04	9.2000000000e+02	0.0000000000e+00	9.7780226793e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7780767359e-01	9.7780830495e-01	7.7642670735e+13	1.2660814896e+13	0.0000000000e+00	1.5321664498e+15
8.0781391076e-04	9.2000000000e+02	0.0000000000e+00	9.7801250309e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7802182332e-01	9.7802221852e-01	1.2425080543e+14	2.0260896988e+13	0.0000000000e+00	2.4519104150e+15
1.2923881338e-03	9.2000000000e+02	0.0000000000e+00	9.7839159947e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7840692998e-01	9.7840717734e-01	1.9888018235e+14	3.2430100840e+13	0.0000000000e+00	3.9246130871e+15
2.0676386554e-03	9.2000000000e+02	0.0000000000e+00	9.7906831568e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.7909310194e-01	9.7909325653e-01	3.1845524008e+14	5.1927928659e+13	0.0000000000e+00	6.2842539769e+15
3.3079305394e-03	9.2000000000e+02	0.0000000000e+00	9.8025821913e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.8029802763e-01	9.8029812364e-01	5.1025647987e+14	8.3202138092e+13	0.0000000000e+00	1.0069174914e+16
5.2922238020e-03	9.2000000000e+02	0.0000000000e+00	9.8230724440e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.8237100493e-01	9.8237106342e-01	8.1846781938e+14	1.3345566519e+14	0.0000000000e+00	1.6151283284e+16
8.4668164615e-03	9.2000000000e+02	0.0000000000e+00	9.8572528306e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.8582727265e-01	9.8582730625e-01	1.3151207712e+15	2.1442938453e+14	0.0000000000e+00	2.5952021350e+16
1.3545725887e-02	9.2000000000e+02	0.0000000000e+00	9.9113801285e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9130101101e-01	9.9130102676e-01	2.1184496927e+15	3.4539045654e+14	0.0000000000e+00	4.1804585174e+16
2.1671288187e-02	9.2000000000e+02	0.0000000000e+00	9.9905988961e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9932019256e-01	9.9932019354e-01	3.4231802593e+15	5.5805913781e+14	0.0000000000e+00	6.7551635773e+16
3.4671103287e-02	9.2000000000e+02	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.5488851825e+15	9.0446270017e+14	0.0000000000e+00	1.0949955998e+17
5.5469133107e-02	9.2000000000e+02	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	9.0152378968e+15	1.4691267463e+15	0.0000000000e+00	1.7790357204e+17
8.8743457832e-02	9.2000000000e+02	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.4659331521e+16	2.3880011594e+15	0.0000000000e+00	2.8928303615e+17
1.4197873954e-01	9.2000000000e+02	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.3820965926e+16	3.8781499256e+15	0.0000000000e+00	4.7007835770e+17
2.2715039044e-01	9.2000000000e+02	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	3.8635039591e+16	6.2840884307e+15	0.0000000000e+00	7.6242224347e+17
