#p(bar)         	T(K)            	n_<tot>(cm-3)   	n_g(cm-3)       	m(u)            	e-              	C               	H               	He              	N               	O               	Si              	C1H1            	C1H1N1          	C1H1N1O1        	C1H1O1          	C1H2            	C1H2O1          	C1H3            	C1H4            	C1H4O2          	C1N1            	C1N1O1          	C1N2_cnn        	C1N2_ncn        	C1O1            	C1O2            	C1Si1           	C1Si2           	C2              	C2H2O2          	C2H2O4          	C2H4O1          	C2H4O3          	C2H6O2          	C2N1            	C2N1O1          	C2Si1           	C2Si2           	C2O1            	C3              	C3N2O1          	C4              	C4H6O4          	C5              	H1N1            	H1N1O1          	H1N1O2_cis      	H1N1O2_trans    	H1N1O3          	H1O1            	H1O2            	H1Si1           	H2              	H2N1            	H2N2            	H2O1            	H2O2            	H2Si1           	H3N1            	H3Si1           	H4N2            	H4Si1           	N1O1            	N1O2            	N1O3            	N1Si1           	N1Si2           	N2              	N2O1            	N2O3            	N2O4            	N2O5            	N3              	O1Si1           	O2              	O2Si1           	O3              	Si2             	Si3             	C1+             	C1-             	C1H1+           	C1H1-           	C1H1O1+         	C1N1+           	C1N1-           	C1O2-           	C2-             	H1+             	H1-             	H1O1+           	H1O1-           	H1Si1+          	H2+             	H2-             	H3O1+           	He1+            	N1+             	N1-             	N1O1+           	N1O2-           	N2+             	N2-             	N2O1+           	O1+             	O1-             	O2+             	O2-             	Si1+            	Si1-            
1.7156585442e-07	9.2000000000e+02	3.2443116872e+12	1.3507026360e+12	2.1352897158e+00	1.3824783902e-24	2.8788276747e-30	5.2148240772e-07	5.8932782092e-02	2.3669930770e-24	4.8646760137e-26	9.6742868758e-12	5.8870398014e-29	1.0614921925e-13	6.5884526610e-25	3.6755335741e-22	1.4637518433e-23	1.8605439832e-20	7.1823630634e-17	6.7379769967e-12	1.8331093280e-56	8.6127935154e-24	4.5834265239e-33	2.0468638812e-42	2.5325891085e-36	7.1927002991e-08	1.7231370787e-17	1.4968250196e-28	7.0786721865e-18	6.3253378820e-39	1.4143429974e-42	1.4969402689e-63	8.3169636403e-41	2.2792458536e-59	1.4037389350e-73	4.6164433895e-33	1.5904208855e-37	1.4327554922e-25	4.0187183681e-28	1.6645144496e-32	2.5946165959e-40	1.1625176535e-53	3.5496508536e-53	4.5778213201e-109	6.0875799275e-57	2.2208400452e-23	3.1245399671e-33	3.3504526882e-48	4.4633126222e-48	1.5658572901e-70	7.0064256164e-20	4.7865101024e-42	6.0429039718e-13	9.4037378532e-01	4.0154610922e-20	5.2909567959e-32	1.0754084114e-10	7.5499650384e-41	4.4693112688e-14	7.9350892219e-14	7.7131867245e-13	4.7900641300e-38	5.1881658664e-14	2.9424043969e-26	4.6836098842e-48	5.3254581860e-76	1.3994077075e-16	6.4697420063e-17	2.3519074156e-07	4.9645769445e-37	2.1093652765e-85	7.1836124158e-108	4.1404143884e-132	1.0500096171e-40	8.1720393701e-05	3.2558822649e-36	1.0772385861e-18	4.7464975728e-69	1.3707138822e-17	3.1072342407e-19	2.7897985651e-60	1.5382697308e-55	5.7061242167e-56	2.6537211316e-52	7.9222146818e-36	1.2196282979e-68	4.3063909977e-35	1.2944174483e-45	4.2880504382e-49	5.9926521971e-50	4.8968525697e-35	2.6884367426e-60	2.5373459705e-42	4.0929708618e-25	8.8965777600e-53	1.3383910905e-45	4.6107179573e-32	1.7057623387e-104	7.9939171353e-72	2.9103788221e-56	8.0857436768e-46	5.0500106509e-67	1.5611758750e-60	2.5779134867e-47	4.5361333353e-75	4.3466241800e-69	4.6618130920e-50	1.9120180617e-70	2.1726883975e-65	9.7318125795e-25	2.8835931941e-36
2.7434172991e-07	9.2000000000e+02	5.1879495356e+12	2.1598359359e+12	2.1340003764e+00	8.9778399513e-25	1.8003405092e-30	4.1239689243e-07	5.8934469417e-02	1.8718570317e-24	3.0422360354e-26	6.0500358230e-12	4.6555682106e-29	1.0615225616e-13	6.5886411557e-25	2.9066725964e-22	1.4637938374e-23	1.8605973610e-20	9.0827330801e-17	1.0774954831e-11	2.9313947227e-56	6.8111386809e-24	3.6246490331e-33	2.0469222790e-42	2.5326613642e-36	4.4981190896e-08	1.0776030510e-17	9.3607364609e-29	4.4268090101e-18	3.9556942305e-39	1.4143835740e-42	1.4969832151e-63	1.3299972321e-40	3.6448285790e-59	3.5895975083e-73	3.6507593131e-33	1.2577309781e-37	8.9600630667e-26	2.5131971381e-28	1.0409420537e-32	1.6226026325e-40	1.1625508205e-53	2.2198550755e-53	1.1706262179e-108	3.8070068740e-57	2.2209035831e-23	3.1246293597e-33	3.3505485442e-48	4.4634403169e-48	1.5659020890e-70	5.5407969828e-20	3.7852511660e-42	4.7788281683e-13	9.4040076403e-01	5.0779051509e-20	8.4609685451e-32	1.0754392642e-10	7.5501816420e-41	4.4694394904e-14	1.2689301432e-13	9.7540065292e-13	1.2249000939e-37	8.2965930121e-14	2.3269017615e-26	3.7038756811e-48	4.2114598683e-76	1.1066746172e-16	5.1163783221e-17	2.3519745164e-07	4.9647185858e-37	2.1094254575e-85	7.1838173669e-108	4.1405325160e-132	1.3278296746e-40	5.1105711016e-05	2.0361401922e-36	6.7367570548e-19	2.9683304535e-69	8.5720717163e-18	1.9431797618e-19	1.6801084199e-60	9.9895517671e-56	4.3455266808e-56	2.1792423375e-52	6.0332011648e-36	9.2881379495e-69	3.5364186260e-35	8.4059705842e-46	2.7846677974e-49	4.5637334594e-50	4.0213074062e-35	2.0473920916e-60	2.0836747682e-42	3.1170218888e-25	8.5676341971e-53	1.3898566815e-45	5.6149155765e-32	1.6426930997e-104	6.0878060335e-72	2.3900100759e-56	6.1577369778e-46	4.1470808705e-67	1.5034524565e-60	2.6770424128e-47	4.3684128838e-75	2.6176799912e-69	3.0273899484e-50	1.1514801408e-70	1.4109478192e-65	5.8608175016e-25	1.8726106943e-36
4.3876850100e-07	9.2000000000e+02	8.1909687452e+12	3.4543340392e+12	2.1125483409e+00	5.8599424100e-25	1.1256699799e-30	3.2451461925e-07	5.8364758441e-02	1.4729619005e-24	1.9021700392e-26	3.7828086792e-12	3.6634610322e-29	1.0512609177e-13	6.5249493496e-25	2.2872571743e-22	1.4496436197e-23	1.8426113189e-20	1.1320362582e-16	1.6901361685e-11	4.5981225189e-56	5.3596763033e-24	2.8522316812e-33	2.0271346587e-42	2.5081780989e-36	2.8124666415e-08	6.7377554339e-18	5.8528372663e-29	2.7678797340e-18	2.4733133663e-39	1.4007109960e-42	1.4825121620e-63	2.0862049644e-40	5.7171994739e-59	8.9181935969e-73	2.8727778270e-33	9.8970689558e-38	5.6023146517e-26	1.5713863892e-28	6.5085311068e-33	1.0145386739e-40	1.1513124289e-53	1.3879731115e-53	2.9083681992e-108	2.3803460121e-57	2.1994343063e-23	3.0944238465e-33	3.3181590904e-48	4.4202926376e-48	1.5507646533e-70	4.3600464897e-20	2.9786095953e-42	3.7604541449e-13	9.3131008804e-01	6.3289013494e-20	1.3271690032e-31	1.0650431966e-10	7.4771954667e-41	4.4262342657e-14	1.9904162447e-13	1.2157011504e-12	3.0432085874e-37	1.3013856805e-13	1.8310360155e-26	2.9145750290e-48	3.3139923757e-76	8.7084083869e-17	4.0260715478e-17	2.3292379528e-07	4.9167245964e-37	2.0890336183e-85	7.1143713253e-108	4.1005059425e-132	1.6549543696e-40	3.1954046694e-05	1.2731046586e-36	4.2121838286e-19	1.8559602836e-69	5.3597215348e-18	1.2149807841e-19	1.0063027988e-60	6.5202986882e-56	3.2756405953e-56	1.7901501873e-52	4.5478028572e-36	7.0013604510e-69	2.9050095604e-35	5.4866765047e-46	1.8175856345e-49	3.4401239905e-50	3.3033243171e-35	1.5433159528e-60	1.7116457002e-42	2.3495986069e-25	8.1278782821e-53	1.4368664738e-45	6.7038140308e-32	1.5583775708e-104	4.5889633238e-72	1.9632862662e-56	4.6416769840e-46	3.4066412523e-67	1.4262835941e-60	2.7675887481e-47	4.1441919904e-75	1.5678623297e-69	1.9760132556e-50	6.8968030560e-71	9.2094234346e-66	3.5103431333e-25	1.2222751669e-36
7.0182803590e-07	9.2000000000e+02	1.3101950524e+13	5.5253475775e+12	2.1120458357e+00	3.8530521500e-25	7.0374579591e-31	2.5658974262e-07	5.8365471309e-02	1.1646527991e-24	1.1891977152e-26	2.3649344409e-12	2.8966538566e-29	1.0512736424e-13	6.5250283287e-25	1.8085062887e-22	1.4496613785e-23	1.8426338917e-20	1.4317459160e-16	2.7035076758e-11	7.3550639031e-56	4.2378299172e-24	2.2552243952e-33	2.0271588990e-42	2.5082080915e-36	1.7582964904e-08	4.2123065774e-18	3.6590738793e-29	1.7304216698e-18	1.5462648152e-39	1.4007281553e-42	1.4825303235e-63	3.3370513215e-40	9.1451167959e-59	2.2818305912e-72	2.2714699792e-33	7.8254902983e-38	3.5024522762e-26	9.8239855808e-29	4.0690002270e-33	6.3426878151e-41	1.1513261962e-53	8.6773233674e-54	7.4414212424e-108	1.4881435311e-57	2.1994609287e-23	3.0944613020e-33	3.3181992540e-48	4.4203461417e-48	1.5507834240e-70	3.4474354628e-20	2.3551501970e-42	2.9733451251e-13	9.3132149702e-01	8.0044939095e-20	2.1229121088e-31	1.0650562439e-10	7.4772870658e-41	4.4262884892e-14	3.1838291545e-13	1.5375613144e-12	7.7864248439e-37	2.0816702476e-13	1.4477775833e-26	2.3045185110e-48	2.6203328784e-76	6.8856310540e-17	3.1833650931e-17	2.3292658056e-07	4.9167833901e-37	2.0890585988e-85	7.1144563982e-108	4.1005549760e-132	2.0931070916e-40	1.9977014954e-05	7.9591893468e-37	2.6333709824e-19	1.1603083233e-69	3.3507880325e-18	7.5958107985e-20	5.9817271580e-61	4.2872521812e-56	2.4626033136e-56	1.4886798260e-52	3.4190058586e-36	5.2635722458e-69	2.4157908788e-35	3.6076208986e-46	1.1951059834e-49	2.5862607608e-50	2.7470277658e-35	1.1602539621e-60	1.4233958922e-42	1.7664115298e-25	7.7281528228e-53	1.5112229552e-45	8.0615910601e-32	1.4817371971e-104	3.4499495001e-72	1.6326586732e-56	3.4895792493e-46	2.8329451912e-67	1.3561392010e-60	2.9108079973e-47	3.9403813083e-75	9.3197839545e-70	1.2992759297e-50	4.0996402069e-71	6.0554159550e-66	2.0866398145e-25	8.0367512688e-37
1.1226860837e-06	9.2000000000e+02	2.0958827897e+13	8.8386763079e+12	2.1117317310e+00	2.5506753758e-25	4.3993466818e-31	2.0287435484e-07	5.8365919525e-02	9.2084013567e-25	7.4340664664e-27	1.4783983856e-12	2.2902582790e-29	1.0512815153e-13	6.5250771945e-25	1.4299073018e-22	1.4496725529e-23	1.8426480952e-20	1.8108596328e-16	4.3247591746e-11	1.1765781314e-55	3.3506671508e-24	1.7831074975e-33	2.0271736358e-42	2.5082263253e-36	1.0991690289e-08	2.6332515336e-18	2.2874075586e-29	1.0817435607e-18	9.6662104744e-40	1.4007389525e-42	1.4825417512e-63	5.3382290895e-40	1.4629301082e-58	5.8391373898e-72	1.7959521717e-33	6.1872736268e-38	2.1894982377e-26	6.1412968458e-29	2.5436660156e-33	3.9650229891e-41	1.1513345660e-53	5.4244805418e-54	1.9042378158e-107	9.3028751913e-58	2.1994774004e-23	3.0944844763e-33	3.3182241039e-48	4.4203792455e-48	1.5507950378e-70	2.7257373511e-20	1.8621148760e-42	2.3508947311e-13	9.3132867590e-01	1.0124011224e-19	3.3959879881e-31	1.0650644536e-10	7.4773447028e-41	4.4263226082e-14	5.0931208555e-13	1.9446940173e-12	1.9925223490e-36	3.3300155137e-13	1.1446945453e-26	1.8220822034e-48	2.0717828397e-76	5.4441679435e-17	2.5169478377e-17	2.3292827386e-07	4.9168191336e-37	2.0890737856e-85	7.1145081180e-108	4.1005847857e-132	2.6473416848e-40	1.2488289800e-05	4.9755513207e-37	1.6462069061e-19	7.2534693657e-70	2.0946879254e-18	4.7483914257e-20	3.5311896642e-61	2.8381107088e-56	1.8386725453e-56	1.2464277013e-52	2.5527587694e-36	3.9299807657e-69	2.0226699920e-35	2.3882027632e-46	7.9114615757e-50	1.9309998609e-50	2.3000053094e-35	8.6628938325e-61	1.1917673895e-42	1.3188694930e-25	7.2979539798e-53	1.6003310009e-45	9.6285672890e-32	1.3992541052e-104	2.5758618948e-72	1.3669766429e-56	2.6054509542e-46	2.3719409148e-67	1.2806471825e-60	3.0824400970e-47	3.7210326320e-75	5.5017428751e-70	8.6010544144e-51	2.4201383218e-71	4.0086144089e-66	1.2318049204e-25	5.3202351707e-37
1.7959994746e-06	9.2000000000e+02	3.3528723695e+13	1.4139533958e+13	2.1115354803e+00	1.7000947078e-25	2.7500482974e-31	1.6039996854e-07	5.8366203102e-02	7.2805002290e-25	4.6470631453e-27	9.2415243834e-13	1.8107629039e-29	1.0512862904e-13	6.5251068325e-25	1.1305376000e-22	1.4496796293e-23	1.8426570899e-20	2.2904029824e-16	6.9185332817e-11	1.8822308092e-55	2.6491604801e-24	1.4097902601e-33	2.0271821559e-42	2.5082368673e-36	6.8709472905e-09	1.6460555215e-18	1.4298671410e-29	6.7620200283e-19	6.0423848311e-40	1.4007457900e-42	1.4825489881e-63	8.5398317293e-40	2.3403223702e-58	1.4943446930e-71	1.4199457312e-33	4.8918857152e-38	1.3686636531e-26	3.8389479520e-29	1.5900552744e-33	2.4785509097e-41	1.1513394050e-53	3.3908633615e-54	4.8733014559e-107	5.8152625675e-58	2.1994873908e-23	3.0944985320e-33	3.3182391758e-48	4.4203993236e-48	1.5508020817e-70	2.1550687651e-20	1.4722568939e-42	1.8587043256e-13	9.3133322206e-01	1.2805000021e-19	5.4327279351e-31	1.0650696526e-10	7.4773812024e-41	4.4263442147e-14	8.1477170801e-13	2.4596787606e-12	5.0992346632e-36	5.3271921579e-13	9.0503753871e-27	1.4406050937e-48	1.6380275853e-76	4.3043590765e-17	1.9899913784e-17	2.3292925285e-07	4.9168397988e-37	2.0890825659e-85	7.1145380200e-108	4.1006020203e-132	3.3483948786e-40	7.8064773218e-06	3.1102360026e-37	1.0290501810e-19	4.5341712126e-70	1.3093973672e-18	2.9682374907e-20	2.0701765600e-61	1.8916781970e-56	1.3633762568e-56	1.0507756769e-52	1.8928714112e-36	2.9140809559e-69	1.7051704698e-35	1.5918022800e-46	5.2732049257e-50	1.4318369897e-50	1.9389729812e-35	6.4235384364e-61	1.0046954060e-42	9.7794213393e-26	6.8444325583e-53	1.7063877711e-45	1.1421495969e-31	1.3122993327e-104	1.9100017379e-72	1.1524016343e-56	1.9319420271e-46	1.9996161610e-67	1.2010622908e-60	3.2867166326e-47	3.4897917539e-75	3.2254226543e-70	5.7328373613e-51	1.4188174814e-71	2.6718508387e-66	7.2215143203e-26	3.5460818509e-37
2.8732057577e-06	9.2000000000e+02	5.3638786796e+13	2.2620157162e+13	2.1114129769e+00	1.1407808251e-25	1.7190155227e-31	1.2681618939e-07	5.8366385336e-02	5.7561408012e-25	2.9048121407e-27	5.7767435878e-13	1.4316340175e-29	1.0512890308e-13	6.5251238416e-25	8.9383103814e-23	1.4496841815e-23	1.8426628761e-20	2.8969713989e-16	1.1068207304e-10	3.0111759158e-55	2.0944907971e-24	1.1146145158e-33	2.0271863588e-42	2.5082420675e-36	4.2949300414e-09	1.0289255630e-18	8.9378932472e-30	4.2268411810e-19	3.7770075997e-40	1.4007501886e-42	1.4825536435e-63	1.3661945975e-39	3.7440266740e-58	3.8245110706e-71	1.1226436785e-33	3.8676439907e-38	8.5553190727e-27	2.3996709900e-29	9.9392061630e-34	1.5493064218e-41	1.1513417920e-53	2.1195797758e-54	1.2472353571e-106	3.6350367488e-58	2.1994931242e-23	3.0945065985e-33	3.3182478255e-48	4.4204108463e-48	1.5508061242e-70	1.7038507624e-20	1.1640027788e-42	1.4695376934e-13	9.3133614660e-01	1.6196145097e-19	8.6912200042e-31	1.0650729971e-10	7.4774046827e-41	4.4263581142e-14	1.3034637533e-12	3.1110765549e-12	1.3050575751e-35	8.5223940902e-13	7.1554472073e-27	1.1389774737e-48	1.2950645039e-76	3.4031311206e-17	1.5733356510e-17	2.3292973577e-07	4.9168499926e-37	2.0890868971e-85	7.1145527702e-108	4.1006105219e-132	4.2351449706e-40	4.8797163695e-06	1.9441636617e-37	6.4324442462e-20	2.8342450219e-70	8.1848540687e-19	1.8554024401e-20	1.2054723242e-61	1.2693352933e-56	1.0041452240e-56	8.9180530575e-53	1.3941256331e-36	2.1462592578e-69	1.4471968607e-35	1.0681155056e-46	3.5383740910e-50	1.0545674882e-50	1.6456284917e-35	4.7310237432e-61	8.5269645408e-43	7.2026773107e-26	6.3760129762e-53	1.8317606019e-45	1.3457539953e-31	1.2224881102e-104	1.4067416021e-72	9.7805589349e-57	1.4229009160e-46	1.6970961449e-67	1.1188627422e-60	3.5281966480e-47	3.2509537610e-75	1.8781768757e-70	3.8467921261e-51	8.2618325411e-72	1.7928390639e-66	4.2051174862e-26	2.3794569570e-37
4.5965836130e-06	9.2000000000e+02	8.5812061565e+13	3.6187956069e+13	2.1113366811e+00	7.7038731578e-26	1.0745122276e-31	1.0026305580e-07	5.8366507021e-02	4.5508998556e-25	1.8157230826e-27	3.6108932926e-13	1.1318744245e-29	1.0512903479e-13	6.5251320162e-25	7.0667815901e-23	1.4496872244e-23	1.8426667438e-20	3.6642052540e-16	1.7707104254e-10	4.8173298893e-55	1.6559389694e-24	8.8123261992e-34	2.0271871831e-42	2.5082430874e-36	2.6846498971e-09	6.4315480815e-19	5.5868463409e-30	2.6420893082e-19	2.3609099487e-40	1.4007531288e-42	1.4825567554e-63	2.1856611016e-39	5.9897568616e-58	9.7884861326e-71	8.8758060844e-34	3.0578231295e-38	5.3477091004e-27	1.4999723893e-29	6.2127411961e-34	9.6843144960e-42	1.1513422602e-53	1.3248946018e-54	3.1921847712e-106	2.2721676347e-58	2.1994958797e-23	3.0945104752e-33	3.3182519826e-48	4.4204163842e-48	1.5508080671e-70	1.3470936548e-20	9.2028057399e-43	1.1618417212e-13	9.3133810144e-01	2.0485514549e-19	1.3904336451e-30	1.0650752326e-10	7.4774203775e-41	4.4263674049e-14	2.0853014772e-12	3.9350140157e-12	3.3401697945e-35	1.3634269444e-12	5.6572145795e-27	9.0049437629e-49	1.0238993567e-76	2.6905715930e-17	1.2439051153e-17	2.3292983048e-07	4.9168519919e-37	2.0890877465e-85	7.1145556631e-108	4.1006121892e-132	5.3567670929e-40	3.0501847348e-06	1.2152465172e-37	4.0207548475e-20	1.7716133984e-70	5.1161409898e-19	1.1597641689e-20	6.9745061308e-62	8.5720217931e-57	7.3483091169e-57	7.6174855093e-53	1.0202175796e-36	1.5706257172e-69	1.2361433282e-35	7.2131527740e-47	2.3895199307e-50	7.7172979596e-51	1.4056376552e-35	3.4621510987e-61	7.2834315303e-43	5.2709008702e-26	5.9016677554e-53	1.9789962567e-45	1.5755272392e-31	1.1315407585e-104	1.0294490424e-72	8.3542004557e-57	1.0412743771e-46	1.4495982777e-67	1.0356228913e-60	3.8117842121e-47	3.0090930787e-75	1.0866575591e-70	2.5977995028e-51	4.7800518148e-72	1.2107325471e-66	2.4329565349e-26	1.6068848789e-37
7.3537446984e-06	9.2000000000e+02	1.3728479526e+14	5.7894517427e+13	2.1112894487e+00	5.2335750192e-26	6.7164220404e-32	7.9269218653e-08	5.8366595751e-02	3.5979931645e-25	1.1349486975e-27	2.2570504713e-13	8.9487399446e-30	1.0512905405e-13	6.5251332120e-25	5.5870853981e-23	1.4496894442e-23	1.8426695654e-20	4.6346557619e-16	2.8328413834e-10	7.7069244481e-55	1.3092041754e-24	6.9671252796e-34	2.0271848219e-42	2.5082401659e-36	1.6780862309e-09	4.0201488807e-19	3.4921536431e-30	1.6514830085e-19	1.4757270516e-40	1.4007552737e-42	1.4825590255e-63	3.4966932650e-39	9.5826120811e-58	2.5053262720e-70	7.0173131985e-34	2.4175497303e-38	3.3426768302e-27	9.3758333851e-30	3.8833799031e-34	6.0533460354e-42	1.1513409192e-53	8.2814797978e-55	8.1702770623e-106	1.4202571539e-58	2.1994962828e-23	3.0945110423e-33	3.3182525907e-48	4.4204171943e-48	1.5508083513e-70	1.0650289942e-20	7.2758526516e-43	9.1856651184e-14	9.3133952757e-01	2.5910988462e-19	2.2244559556e-30	1.0650768635e-10	7.4774318274e-41	4.4263741829e-14	3.3361301056e-12	4.9771871708e-12	8.5490161247e-35	2.1812557356e-12	4.4726581629e-27	7.1194109153e-49	8.0950647205e-77	2.1271964903e-17	9.8344552595e-18	2.3292955918e-07	4.9168462650e-37	2.0890853133e-85	7.1145473765e-108	4.1006074131e-132	6.7754586199e-40	1.9065700189e-06	7.5961057335e-38	2.5132414303e-20	1.1073771867e-70	3.1979312310e-19	7.2493038478e-21	4.0112281322e-62	5.8233460237e-57	5.3455001218e-57	6.5454271167e-53	7.4215348174e-37	1.1425442931e-69	1.0621713876e-35	4.9002073885e-47	1.6233044809e-50	5.6139196823e-51	1.2078131050e-35	2.5185289330e-61	6.2583867318e-43	3.8342972234e-26	5.4301610152e-53	2.1508412241e-45	1.8335843414e-31	1.0411376412e-104	7.4886786554e-73	7.1784496896e-57	7.5747014963e-47	1.2455851834e-67	9.5288046067e-61	4.1427670667e-47	2.7686776945e-75	6.2496631152e-71	1.7647978237e-51	2.7491377817e-72	8.2250310765e-67	1.3992594621e-26	1.0916265609e-37
1.1764812905e-05	9.2000000000e+02	2.1963400335e+14	9.2621948914e+13	2.1112606934e+00	3.5746337451e-26	4.1981843119e-32	6.2671000240e-08	5.8366672425e-02	2.8446015874e-25	7.0941399872e-28	1.4107978657e-13	7.0749591424e-30	1.0512896681e-13	6.5251277970e-25	4.4172029986e-23	1.4496913610e-23	1.8426720018e-20	5.8621453476e-16	4.5321041680e-10	1.2329876505e-54	1.0350670792e-24	5.5082638359e-34	2.0271787770e-42	2.5082326866e-36	1.0489089646e-09	2.5128447648e-19	2.1828146819e-30	1.0322802849e-19	9.2242180724e-41	1.4007571258e-42	1.4825609858e-63	5.5941635892e-39	1.5330684029e-57	6.4123758345e-70	5.5479427978e-34	1.9113337591e-38	2.0893823145e-27	5.8604829166e-30	2.4273555902e-34	3.7837202915e-42	1.1513374860e-53	5.1764434035e-55	2.0911802100e-105	8.8774964803e-59	2.1994944575e-23	3.0945084743e-33	3.3182498370e-48	4.4204135259e-48	1.5508070643e-70	8.4202207973e-21	5.7523584946e-43	7.2622744443e-14	9.3134075899e-01	3.2773448856e-19	3.5587671006e-30	1.0650782718e-10	7.4774417141e-41	4.4263800354e-14	5.3372761028e-12	6.2953962746e-12	2.1881089529e-34	3.4896688070e-12	3.5361185884e-27	5.6286620527e-49	6.4000215957e-77	1.6817782126e-17	7.7751973845e-18	2.3292886460e-07	4.9168316034e-37	2.0890790838e-85	7.1145261615e-108	4.1005951854e-132	8.5698849788e-40	1.1917256382e-06	4.7480416999e-38	1.5709332560e-20	6.9218007809e-71	1.9989072521e-19	4.5312688069e-21	2.2945171705e-62	3.9774588363e-57	3.8675934741e-57	5.6547005822e-53	5.3696527870e-37	8.2665554978e-70	9.1762510393e-36	3.3469371557e-47	1.1087486001e-50	4.0618012595e-51	1.0434493190e-35	1.8222141696e-61	5.4067217410e-43	2.7742030831e-26	4.9693971656e-53	2.3502740193e-45	2.1224155429e-31	9.5279428818e-105	5.4182212527e-73	6.2015656976e-57	5.4804606418e-47	1.0760789141e-67	8.7202222294e-61	4.5268780366e-47	2.5337369979e-75	3.5749548156e-71	1.2053913110e-51	1.5725717003e-72	5.6178565383e-67	8.0040943972e-27	7.4560221788e-38
