0.07, 3492, IWC
0.09, 3492, IWC
0.12, 5319, IW
0.18, 12533, IWC 
0.18, 19058, IW
0.26, 19058, IW
0.30, 19557, IW
0.36, 19557, IW
0.15, 23338, IWC
0.46, 36491, IW
0.28, 68163, IWC

