logT: 3.38,,2398,,,,,,,,,,,,,,,
logP,P_GPa,P_bar,XH2,XH,log_rho,rho,Vm,log_S,log_U,dlogrho_dlogT_P,dlogrho_dlogP_T,dlogS_dlogT_P,dlogS_dlogP_T,dlogT_dlogP_S,Z,Int,phi
8,0.01,100,0.998421,0.00157895,-2.9983,0.001003922,2008.124005,8.9219,11.445,-1.0014,0.9945,0.2248,-0.0498,0.2214,1.007721038,0.007721038,1.007750922
8.2,0.015848932,158.4893192,0.998744,0.00125601,-2.7998,0.001585623,1271.424359,8.9119,11.4446,-0.9953,0.991,0.2279,-0.0508,0.2229,1.011207601,0.011207601,1.011270641
8.4,0.025118864,251.1886432,0.999,0.000999802,-2.6021,0.00249977,806.4742917,8.9016,11.4444,-0.987,0.9856,0.2316,-0.0519,0.2239,1.016577107,0.016577107,1.016715269
8.6,0.039810717,398.1071706,0.999203,0.000796783,-2.4057,0.003929163,513.0864289,8.8911,11.4444,-0.9754,0.9773,0.2357,-0.0529,0.2246,1.025038848,0.025038848,1.025354953
8.8,0.063095734,630.9573445,0.999364,0.000636166,-2.2114,0.006146105,328.0126008,8.8804,11.4447,-0.9584,0.9647,0.2403,-0.054,0.2248,1.038580885,0.038580885,1.039334792
9,0.1,1000,0.999491,0.000509288,-2.0203,0.009543331,211.2469891,8.8695,11.4454,-0.9335,0.9458,0.2452,-0.0551,0.2245,1.060084111,0.060084111,1.061925863
9.2,0.158489319,1584.893192,0.99959,0.000409506,-1.8337,0.014665606,137.4644908,8.8584,11.4466,-0.8976,0.9183,0.2504,-0.056,0.2237,1.09330246,0.09330246,1.097793724
9.4,0.251188643,2511.886432,0.999669,0.000331341,-1.6537,0.022197292,90.82188842,8.8471,11.4487,-0.8476,0.8799,0.2559,-0.0568,0.2221,1.144828217,0.144828217,1.155841
9.6,0.398107171,3981.071706,0.999729,0.000270593,-1.4825,0.032923045,61.23370361,8.8357,11.452,-0.7809,0.8296,0.2615,-0.0574,0.2196,1.223320702,0.223320702,1.250221458
9.8,0.630957344,6309.573445,0.999776,0.000223697,-1.3225,0.047588279,42.36337262,8.8242,11.4572,-0.6987,0.7684,0.2674,-0.0579,0.2167,1.341344476,0.341344476,1.40683778
10,1,10000,0.99981,0.000188852,-1.1756,0.06674212,30.20581289,8.8125,11.4653,-0.6053,0.7003,0.2733,-0.0583,0.2134,1.515794494,0.515794494,1.674968726
10.2,1.584893192,15848.93192,0.999835,0.000163547,-1.0424,0.090698478,22.22749534,8.8009,11.4773,-0.5077,0.6316,0.2794,-0.0583,0.2088,1.76782929,0.76782929,2.155083113
10.4,2.511886432,25118.86432,0.999857,0.000142828,-0.9227,0.119481317,16.87293089,8.7892,11.4943,-0.4132,0.5676,0.2866,-0.0585,0.2042,2.126866962,1.126866962,3.08597287
10.6,3.981071706,39810.71706,0.999869,0.000131254,-0.8148,0.153179272,13.16104966,8.7774,11.5191,-0.328,0.5121,0.2945,-0.0596,0.2023,2.629301113,1.629301113,5.100308932
10.8,6.309573445,63095.73445,0.999854,0.00013705,-0.7172,0.191778536,10.51212527,8.7653,11.5534,-0.2539,0.4663,0.3019,-0.0611,0.2023,3.328436878,2.328436878,10.26188841
11,10,100000,0.999842,0.00014163,-0.6275,0.23577622,8.550480636,8.7531,11.5985,-0.1935,0.4329,0.3086,-0.0613,0.1988,4.290820286,3.290820286,26.86489152
11.2,15.84893192,158489.3192,0.999892,0.00010751,-0.5432,0.286285927,7.041910933,8.7409,11.6559,-0.1484,0.411,0.3181,-0.0609,0.1914,5.600674399,4.600674399,99.55143037
11.4,25.11886432,251188.6432,0.999704,0.000157155,-0.4626,0.344667235,5.849119951,8.7286,11.7261,-0.1171,0.397,0.3323,-0.0616,0.1855,7.372933643,6.372933643,585.7737617
