0.02, 0.001, 0.002
0.25, 0.025, 0.058
0.50, 0.06, 0.14
2, 0.4, 0.8
5, 1.1, 2.6
8, 2.1, 4.8
15, 4.7, 10.8
25, 9.9, 20.7
30, 11.3, 26.1
40, 16.3, 37.6
70, 33.4, 76.9


