#p(bar)         	T(K)            	e-              	C               	H               	He              	N               	O               	Si              	SiO2(s,l)       	SiC(s)          	C(s)            	Si(s,l)         
1.0805967875e-01	9.2000000000e+02	0.0000000000e+00	9.9204256596e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995707765e-01	9.9995413126e-01	3.0893425110e+15	3.7468297764e+14	0.0000000000e+00	4.4540595911e+15
1.7288219945e-01	9.2000000000e+02	0.0000000000e+00	9.8729500355e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995716129e-01	9.9995245466e-01	4.9425810951e+15	5.9657946717e+14	0.0000000000e+00	7.1288128315e+15
2.7659216283e-01	9.2000000000e+02	0.0000000000e+00	9.7969949338e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995726099e-01	9.9994974472e-01	7.9076091679e+15	9.4712128213e+14	0.0000000000e+00	1.1412635761e+16
4.4252135705e-01	9.2000000000e+02	0.0000000000e+00	9.6754759433e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995739769e-01	9.9994539366e-01	1.2651511952e+16	1.4965189617e+15	0.0000000000e+00	1.8277910941e+16
7.0800485893e-01	9.2000000000e+02	0.0000000000e+00	9.4810591333e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995760720e-01	9.9993843192e-01	2.0241794428e+16	2.3462443002e+15	0.0000000000e+00	2.9291495074e+16
1.1327927451e+00	9.2000000000e+02	0.0000000000e+00	9.1700107639e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995795662e-01	9.9992731862e-01	3.2386986395e+16	3.6308440682e+15	0.0000000000e+00	4.6988767609e+16
1.8125259166e+00	9.2000000000e+02	0.0000000000e+00	8.6723544010e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995858083e-01	9.9990961641e-01	5.1822215191e+16	5.4943956946e+15	0.0000000000e+00	7.5499295382e+16
2.9003423018e+00	9.2000000000e+02	0.0000000000e+00	7.8761148703e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995976353e-01	9.9988149370e-01	8.2927700698e+16	7.9850583574e+15	0.0000000000e+00	1.2161761775e+17
4.6415635231e+00	9.2000000000e+02	0.0000000000e+00	6.6020866447e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9996210357e-01	9.9983696412e-01	1.3272243321e+17	1.0712503264e+16	0.0000000000e+00	1.9669539728e+17
7.4294954735e+00	9.2000000000e+02	0.0000000000e+00	4.5633992330e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9996678282e-01	9.9976666902e-01	2.1246456050e+17	1.1853274573e+16	0.0000000000e+00	3.2012835417e+17
1.1895487471e+01	9.2000000000e+02	0.0000000000e+00	1.3006384516e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9997581823e-01	9.9965574654e-01	3.4023884701e+17	5.4100333628e+15	0.0000000000e+00	5.2611776811e+17
1.9036129788e+01	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9997478420e-01	9.9946291489e-01	5.4451999797e+17	0.0000000000e+00	0.0000000000e+00	8.5039213793e+17
3.0456018064e+01	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9998975982e-01	9.9917110692e-01	8.7121171345e+17	0.0000000000e+00	0.0000000000e+00	1.3599107212e+18
4.8727629328e+01	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.9870036919e-01	1.3939339784e+18	0.0000000000e+00	0.0000000000e+00	2.1740964469e+18
7.7963218512e+01	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.9793816424e-01	2.2303503622e+18	0.0000000000e+00	0.0000000000e+00	3.4741537885e+18
1.2474522783e+02	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.9670350947e-01	3.5688088547e+18	0.0000000000e+00	0.0000000000e+00	5.5475437163e+18
1.9961338008e+02	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.9470964456e-01	5.7109035445e+18	0.0000000000e+00	0.0000000000e+00	8.8479104809e+18
3.1945214154e+02	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.9150336289e-01	9.1398433938e+18	0.0000000000e+00	0.0000000000e+00	1.4085028491e+19
5.1133166506e+02	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.8636176992e-01	1.4630514872e+19	0.0000000000e+00	0.0000000000e+00	2.2353427710e+19
8.1870752060e+02	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.7803188849e-01	2.3425080367e+19	0.0000000000e+00	0.0000000000e+00	3.5295336060e+19
1.3114801489e+03	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.6482664354e-01	3.7529044051e+19	0.0000000000e+00	0.0000000000e+00	5.5276042256e+19
2.1024512683e+03	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.4365571056e-01	6.0175184927e+19	0.0000000000e+00	0.0000000000e+00	8.5366014038e+19
3.3745900891e+03	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	9.0967085372e-01	9.6616240627e+19	0.0000000000e+00	0.0000000000e+00	1.2864646303e+20
5.4270978705e+03	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	8.5500590584e-01	1.5545982742e+20	0.0000000000e+00	0.0000000000e+00	1.8521660506e+20
8.7555249438e+03	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	7.6679413648e-01	2.5100952651e+20	0.0000000000e+00	0.0000000000e+00	2.4230476867e+20
1.4197077621e+04	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	6.2372436956e-01	4.0755599716e+20	0.0000000000e+00	0.0000000000e+00	2.4397441925e+20
