#p(bar)         	T(K)            	n_<tot>(cm-3)   	n_g(cm-3)       	m(u)            	e-              	C               	H               	He              	N               	O               	Si              	C1H1            	C1H1N1          	C1H1N1O1        	C1H1O1          	C1H2            	C1H2O1          	C1H3            	C1H4            	C1H4O2          	C1N1            	C1N1O1          	C1N2_cnn        	C1N2_ncn        	C1O1            	C1O2            	C1Si1           	C1Si2           	C2              	C2H2O2          	C2H2O4          	C2H4O1          	C2H4O3          	C2H6O2          	C2N1            	C2N1O1          	C2Si1           	C2Si2           	C2O1            	C3              	C3N2O1          	C4              	C4H6O4          	C5              	H1N1            	H1N1O1          	H1N1O2_cis      	H1N1O2_trans    	H1N1O3          	H1O1            	H1O2            	H1Si1           	H2              	H2N1            	H2N2            	H2O1            	H2O2            	H2Si1           	H3N1            	H3Si1           	H4N2            	H4Si1           	N1O1            	N1O2            	N1O3            	N1Si1           	N1Si2           	N2              	N2O1            	N2O3            	N2O4            	N2O5            	N3              	O1Si1           	O2              	O2Si1           	O3              	Si2             	Si3             	C1+             	C1-             	C1H1+           	C1H1-           	C1H1O1+         	C1N1+           	C1N1-           	C1O2-           	C2-             	H1+             	H1-             	H1O1+           	H1O1-           	H1Si1+          	H2+             	H2-             	H3O1+           	He1+            	N1+             	N1-             	N1O1+           	N1O2-           	N2+             	N2-             	N2O1+           	O1+             	O1-             	O2+             	O2-             	Si1+            	Si1-            
1.3669879408e-06	9.2000000000e+02	2.0154216272e+13	1.0762014512e+13	2.3045636302e+00	2.1258359316e-25	3.6131154853e-31	1.7622699462e-07	1.4427240643e-01	1.3233104638e-23	6.1054839755e-27	1.2141857614e-12	1.9894349571e-29	1.5978947203e-12	9.9177872404e-24	1.2420902907e-22	1.3318853026e-23	1.6929312147e-20	1.7596784881e-16	4.4449010045e-11	1.2092634774e-55	4.8151386212e-23	2.5624478322e-32	5.0974421559e-40	6.3070762077e-34	9.0273054760e-09	2.1626488161e-18	1.8786125007e-29	8.8841927974e-19	7.9387093755e-40	1.2869276030e-42	1.3620838479e-63	5.4865251183e-40	1.5035703134e-58	6.7135482163e-72	2.5809065105e-32	8.8915367774e-37	1.7982010875e-26	5.0437522519e-29	2.0890736137e-33	3.2564121443e-41	2.8950955402e-51	4.4550420921e-54	2.1893974294e-107	7.6403077189e-58	3.3430943798e-22	4.7034598580e-32	5.0435327733e-47	6.7187528319e-47	2.3571300047e-69	2.3677142529e-20	1.6175277969e-42	2.0421068668e-13	8.5565735025e-01	1.6275463989e-18	9.5528015633e-29	9.7852697099e-11	6.8698034548e-41	4.0666797579e-14	8.6599696379e-12	1.8897302509e-12	6.2700509002e-34	3.4225233601e-13	1.6450046115e-25	2.6184571591e-47	2.9772941080e-75	7.8236429181e-16	3.6170267577e-16	5.8571124915e-05	1.2363618331e-34	5.2530935650e-83	1.7889830925e-105	1.0311151142e-129	1.1648103081e-36	1.0256439541e-05	4.0863434561e-37	1.3520043076e-19	5.9571623658e-70	1.7203348423e-18	3.8997805427e-20	2.8578129693e-61	2.3653961534e-56	1.5738697076e-56	1.0987357951e-52	2.1851143143e-36	5.5652801796e-68	2.9497379499e-34	1.9904246906e-46	6.5937317812e-50	1.6529001829e-50	2.0274727202e-35	7.4152769715e-61	1.0505523015e-42	1.1289279043e-25	6.6071951259e-53	1.4920645987e-45	9.2199657802e-32	3.4083142920e-104	3.6477005875e-71	1.9935149560e-55	3.6896019138e-45	3.4590932575e-66	3.1732914191e-58	7.8656913398e-45	9.2202763440e-73	4.4525934990e-70	7.1684663195e-51	1.9586324557e-71	3.3409412374e-66	9.9690710837e-26	4.4340989832e-37
2.1868582841e-06	9.2000000000e+02	3.2242117124e+13	1.7216684864e+13	2.3044029348e+00	1.4192106657e-25	2.2585301174e-31	1.3933021297e-07	1.4427296443e-01	1.0462478979e-23	3.8164900890e-27	7.5897798488e-13	1.5729054272e-29	1.5979008823e-12	9.9178254864e-24	9.8203288946e-23	1.3318904826e-23	1.6929377989e-20	2.2256857071e-16	7.1108485326e-11	1.9345513916e-55	3.8069892126e-23	2.0259460885e-32	5.0974616454e-40	6.3071003221e-34	5.6428977650e-09	1.3518547924e-18	1.1743059221e-29	5.5534391534e-19	4.9624248909e-40	1.2869326082e-42	1.3620891453e-63	8.7772143963e-40	2.4053765754e-58	1.7181817159e-71	2.0405400585e-32	7.0299086398e-37	1.1240413792e-26	3.1528099260e-29	1.3058635112e-33	2.0355576600e-41	2.8951066092e-51	2.7848118280e-54	5.6032704479e-107	4.7758963586e-58	3.3431072718e-22	4.7034779960e-32	5.0435522226e-47	6.7187787414e-47	2.3571390945e-69	1.8719840954e-20	1.2788647557e-42	1.6145493786e-13	8.5566067808e-01	2.0585616424e-18	1.5282347219e-28	9.7853077668e-11	6.8698301729e-41	4.0666955741e-14	1.3854016164e-11	2.3901784549e-12	1.6046784440e-33	5.4752727199e-13	1.3005886856e-25	2.0702286979e-47	2.3539356691e-75	6.1856005684e-16	2.8597269843e-16	5.8571348855e-05	1.2363665602e-34	5.2531136496e-83	1.7889899324e-105	1.0311190566e-129	1.4732812931e-36	6.4112198172e-06	2.5543412059e-37	8.4512727588e-20	3.7237754155e-70	1.0753678008e-18	2.4377221937e-20	1.6726488112e-61	1.5791413625e-56	1.1651143813e-56	9.2776763733e-53	1.6176104668e-36	4.1199012399e-68	2.4907455739e-34	1.3288099558e-46	4.4019833946e-50	1.2236195694e-50	1.7119889821e-35	5.4894288893e-61	8.8708170881e-43	8.3573000383e-26	6.1865103241e-53	1.5935378930e-45	1.0919097436e-31	3.1913044341e-104	2.7003431433e-71	1.6833151411e-55	2.7313621253e-45	2.9208429248e-66	2.9712455073e-58	8.4006258109e-45	8.6332142387e-73	2.6060576052e-70	4.7856768747e-51	1.1463676188e-71	2.2304164527e-66	5.8347957255e-26	2.9602098996e-37
3.4985349905e-06	9.2000000000e+02	5.1581050710e+13	2.7543245419e+13	2.3043024894e+00	9.5378699001e-26	1.4117581532e-31	1.1015723833e-07	1.4427331372e-01	8.2718436665e-24	2.3856051147e-27	4.7442066414e-13	1.2435703234e-29	1.5979047077e-12	9.9178492297e-24	7.7641473980e-23	1.3318937297e-23	1.6929419262e-20	2.8151284503e-16	1.1375988048e-10	3.0949096171e-55	3.0098812787e-23	1.6017532130e-32	5.0974736248e-40	6.3071151442e-34	3.5272529094e-09	8.4501508769e-19	7.3403314270e-30	3.4713342730e-19	3.1019040860e-40	1.2869357456e-42	1.3620924660e-63	1.4041852475e-39	3.8481392267e-58	4.3974755438e-71	1.6132914956e-32	5.5579853853e-37	7.0261386795e-27	1.9707530505e-29	8.1626693606e-34	1.2723829099e-41	2.8951134129e-51	1.7407254272e-54	1.4340884047e-106	2.9853091492e-58	3.3431152752e-22	4.7034892561e-32	5.0435642969e-47	6.7187948262e-47	2.3571447375e-69	1.4800278686e-20	1.0110959187e-42	1.2764948599e-13	8.5566276413e-01	2.6037437240e-18	2.4448809906e-28	9.7853316228e-11	6.8698469211e-41	4.0667054885e-14	2.2163756499e-11	3.0231848764e-12	4.1069774680e-33	8.7593817725e-13	1.0282712447e-25	1.6367639235e-47	1.8610682894e-75	4.8904586560e-16	2.2609569483e-16	5.8571486502e-05	1.2363694658e-34	5.2531259948e-83	1.7889941367e-105	1.0311214798e-129	1.8634596625e-36	4.0075143472e-06	1.5966632438e-37	5.2827071600e-20	2.3276511848e-70	6.7218907055e-19	1.5237672306e-20	9.7245401775e-62	1.0612691431e-56	8.5677382865e-57	7.8863685225e-53	1.1895195314e-36	3.0295938841e-68	2.1172258913e-34	8.9303278130e-47	2.9583729841e-50	8.9979596863e-51	1.4552540395e-35	4.0366843650e-61	7.5405230618e-43	6.1455905667e-26	5.7540905405e-53	1.7133005860e-45	1.2845499922e-31	2.9682411219e-104	1.9857133935e-71	1.4308801498e-55	2.0085233864e-45	2.4828245525e-66	2.7635635066e-58	9.0319759095e-45	8.0297759832e-73	1.5151244970e-70	3.2162359345e-51	6.6648168418e-72	1.4989615329e-66	3.3922665104e-26	1.9894225419e-37
5.5970324004e-06	9.2000000000e+02	8.2520612383e+13	4.4064283319e+13	2.3042397085e+00	6.4504944983e-26	8.8244715124e-32	8.7091861254e-08	1.4427353245e-01	6.5398354771e-24	1.4911693144e-27	2.9654595060e-13	9.8318418032e-30	1.5979070502e-12	9.9178637691e-24	6.1384440843e-23	1.3318957666e-23	1.6929445153e-20	3.5606969433e-16	1.8199608871e-10	4.9513188906e-55	2.3796543022e-23	1.2663685280e-32	5.0974807745e-40	6.3071239905e-34	2.2047786829e-09	5.2819327106e-19	4.5882182739e-30	2.1698256414e-19	1.9389060498e-40	1.2869377138e-42	1.3620945491e-63	2.2464529832e-39	6.1563556951e-58	1.1255080970e-70	1.2754908559e-32	4.3942211035e-37	4.3918259284e-27	1.2318578867e-29	5.1022367446e-34	7.9532791899e-42	2.8951174736e-51	1.0880746045e-54	3.6704652369e-106	1.8660260954e-58	3.3431201762e-22	4.7034961514e-32	5.0435716907e-47	6.7188046759e-47	2.3571481930e-69	1.1701308398e-20	7.9938664769e-43	1.0092147817e-13	8.5566407276e-01	3.2933281359e-18	3.9113852735e-28	9.7853465882e-11	6.8698574277e-41	4.0667117080e-14	3.5458166106e-11	3.8238557631e-12	1.0511566835e-32	1.4013492414e-12	8.1296565037e-26	1.2940484862e-47	1.4713866599e-75	3.8664651204e-16	1.7875442354e-16	5.8571568654e-05	1.2363711999e-34	5.2531333628e-83	1.7889966459e-105	1.0311229260e-129	2.3569844075e-36	2.5049755237e-06	9.9802570844e-38	3.3020598277e-20	1.4549440727e-70	4.2016497589e-19	9.5246062420e-21	5.6180326880e-62	7.1774000277e-57	6.2606223942e-57	6.7461316786e-53	8.6920636083e-37	2.2137863552e-68	1.8111103621e-34	6.0396116773e-47	2.0007579111e-50	6.5749940102e-51	1.2448486713e-35	2.9496882012e-61	6.4502896809e-43	4.4907092912e-26	5.3181935792e-53	1.8537341116e-45	1.5016703043e-31	2.7433841291e-104	1.4510014821e-71	1.2239987603e-55	1.4676692115e-45	2.1238495584e-66	2.5542114309e-58	9.7722955636e-45	7.4214851785e-73	8.7531325851e-71	2.1751515189e-51	3.8503783411e-72	1.0137528843e-66	1.9597702096e-26	1.3454533660e-37
8.9543317784e-06	9.2000000000e+02	1.3201954025e+14	7.0495609850e+13	2.3042004720e+00	4.3879717757e-26	5.5158613947e-32	6.8855732081e-08	1.4427366953e-01	5.1704615078e-24	9.3207658304e-28	1.8536026303e-13	7.7731564732e-30	1.5979084316e-12	9.9178723434e-24	4.8531177906e-23	1.3318970459e-23	1.6929461414e-20	4.5037400735e-16	2.9116438403e-10	7.9213115243e-55	1.8813792815e-23	1.0012040443e-32	5.0974846922e-40	6.3071288380e-34	1.3781282656e-09	3.3015471449e-19	2.8679310723e-30	1.3562803701e-19	1.2119407959e-40	1.2869389499e-42	1.3620958574e-63	3.5939623963e-39	9.8491760263e-58	2.8807170100e-70	1.0084162510e-32	3.4741166122e-37	2.7451732443e-27	7.6999028799e-30	3.1892256263e-34	4.9713102459e-42	2.8951196987e-51	6.8011650299e-55	9.3944874058e-106	1.1663861441e-58	3.3431230664e-22	4.7035002177e-32	5.0435760510e-47	6.7188104845e-47	2.3571502308e-69	9.2511762229e-21	6.3200340480e-43	7.9789571177e-14	8.5566489462e-01	4.1655587975e-18	6.2575842885e-28	9.7853559870e-11	6.8698640262e-41	4.0667156140e-14	5.6727340545e-11	4.8365959558e-12	2.6904154357e-32	2.2419327336e-12	6.4273904399e-26	1.0230881053e-47	1.1632934980e-75	3.0568672784e-16	1.4132509442e-16	5.8571613670e-05	1.2363721501e-34	5.2531374002e-83	1.7889980209e-105	1.0311237185e-129	2.9812259347e-36	1.5657705695e-06	6.2383016007e-38	2.0639994476e-20	9.0943348059e-71	2.6263009254e-19	5.9534905627e-21	3.2267307183e-62	4.8824518419e-57	4.5481403833e-57	5.8044826758e-53	6.3145040575e-37	1.6082442802e-68	1.5583090003e-34	4.1084672785e-47	1.3610226698e-50	4.7765212298e-51	1.0710882756e-35	2.1428534067e-61	5.5499353541e-43	3.2623555600e-26	4.8867304168e-53	2.0174093816e-45	1.7452864686e-31	2.5208143198e-104	1.0541057083e-71	1.0531485681e-55	1.0662142754e-45	1.8273949238e-66	2.3469887113e-58	1.0635137392e-44	6.8193814045e-73	5.0273829581e-71	1.4796545405e-51	2.2114741512e-72	6.8960899740e-67	1.1255987794e-26	9.1524942729e-38
1.4325536468e-05	9.2000000000e+02	2.1121083230e+14	1.1278199811e+14	2.3041759535e+00	3.0006653069e-26	3.4477489260e-32	5.4437901448e-08	1.4427375557e-01	4.0878082840e-24	5.8260456675e-28	1.1586144068e-13	6.1455206885e-30	1.5979091588e-12	9.9178768572e-24	3.8369143717e-23	1.3318978508e-23	1.6929471645e-20	5.6965585821e-16	4.6581823705e-10	1.2672880242e-54	1.4874335300e-23	7.9155993719e-33	5.0974862516e-40	6.3071307674e-34	8.6141400368e-10	2.0636678133e-19	1.7926313892e-30	8.4775773983e-20	7.5753672515e-41	1.2869397277e-42	1.3620966806e-63	5.7497871282e-39	1.5757166964e-57	7.3732135011e-70	7.9726196555e-33	2.7466644216e-37	1.7159002787e-27	4.8129077192e-30	1.9934600312e-34	3.1073713306e-42	2.8951205844e-51	4.2511418887e-55	2.4045250240e-105	7.2906229650e-59	3.3431245879e-22	4.7035023583e-32	5.0435783465e-47	6.7188135423e-47	2.3571513036e-69	7.3140551160e-21	4.9966702881e-43	6.3082283508e-14	8.5566541172e-01	5.2688089874e-18	1.0011169537e-27	9.7853619006e-11	6.8698681779e-41	4.0667180717e-14	9.0755007385e-11	6.1175715628e-12	6.8861333567e-32	3.5867475929e-12	5.0815463659e-26	8.0886165108e-48	9.1970915760e-76	2.4167837561e-16	1.1173275168e-16	5.8571631588e-05	1.2363725283e-34	5.2531390072e-83	1.7889985681e-105	1.0311240339e-129	3.7708038883e-36	9.7870185873e-07	3.8993180040e-38	1.2901252170e-20	5.6845125024e-71	1.6415978479e-19	3.7212937789e-21	1.8435442516e-62	3.3388099568e-57	3.2867274493e-57	5.0206071299e-53	4.5631955185e-37	1.1622024359e-68	1.3478644949e-34	2.8095292899e-47	9.3072009486e-51	3.4517675610e-51	9.2644146489e-36	1.5485395168e-61	4.8004355540e-43	2.3575511450e-26	4.4667042662e-53	2.2071189665e-45	2.0177833186e-31	2.3041442901e-104	7.6175257513e-72	9.1092431768e-56	7.7050286655e-46	1.5806112495e-66	2.1452587859e-58	1.1635222211e-44	6.2332374254e-73	2.8723199307e-71	1.0118451697e-51	1.2634926231e-72	4.7158138193e-67	6.4309399839e-27	6.2588306034e-38
2.2918705145e-05	9.2000000000e+02	3.3790571292e+14	1.8043424525e+14	2.3041606366e+00	2.0615262182e-26	2.1550455255e-32	4.3038969720e-08	1.4427380977e-01	3.2318478647e-24	3.6416206390e-28	7.2420203638e-14	4.8586898427e-30	1.5979093925e-12	9.9178783076e-24	3.0334902167e-23	1.3318983590e-23	1.6929478104e-20	7.2053056416e-16	7.4523973304e-10	2.0274719058e-54	1.1759746407e-23	6.2581244400e-33	5.0974857975e-40	6.3071302056e-34	5.3843433326e-10	1.2899135589e-19	1.1204998789e-30	5.2989836648e-20	4.7350493466e-41	1.2869402187e-42	1.3620972003e-63	9.1988022014e-39	2.5209117994e-57	1.8871901986e-69	6.3032050477e-33	2.1715307885e-37	1.0725384293e-27	3.0083499313e-30	1.2460295725e-34	1.9422895419e-42	2.8951203265e-51	2.6572133012e-55	6.1544346395e-105	4.5570674477e-59	3.3431250768e-22	4.7035030462e-32	5.0435790840e-47	6.7188145249e-47	2.3571516483e-69	5.7825409925e-21	3.9504010167e-43	4.9873276110e-14	8.5566573821e-01	6.6642639835e-18	1.6016371212e-27	9.7853656343e-11	6.8698707991e-41	4.0667196234e-14	1.4519444749e-10	7.7378249095e-12	1.7625201358e-31	5.7382614205e-12	4.0175036672e-26	6.3949129174e-48	7.2712805265e-76	1.9107249849e-16	8.8336641504e-17	5.8571626370e-05	1.2363724182e-34	5.2531385392e-83	1.7889984088e-105	1.0311239421e-129	4.7695068800e-36	6.1174612963e-07	2.4373027147e-38	8.0640401485e-21	3.5531541002e-71	1.0260950471e-19	2.3260271207e-21	1.0483924767e-62	2.2938393854e-57	2.3641427441e-57	4.3628192241e-53	3.2823061058e-37	8.3597190572e-69	1.1712702456e-34	1.9302113696e-47	6.3942615424e-51	2.4828560809e-51	8.0506132594e-36	1.1138643283e-61	4.1714940001e-43	1.6957863161e-26	4.0638425851e-53	2.4259195627e-45	2.3220088952e-31	2.0963285400e-104	5.4792842647e-72	7.9157701188e-56	5.5422250878e-46	1.3735230310e-66	1.9517723556e-58	1.2788662651e-44	5.6710456438e-73	1.6334398284e-71	6.9516095022e-52	7.1852691314e-73	3.2398727729e-67	3.6571669441e-27	4.2999608635e-38
3.6666561035e-05	9.2000000000e+02	5.4059962597e+14	2.8866828315e+14	2.3041510747e+00	1.4220353211e-26	1.3470271435e-32	3.4026859529e-08	1.4427384419e-01	2.5551167447e-24	2.2762219122e-28	4.5266783872e-14	3.8413084200e-30	1.5979091830e-12	9.9178770072e-24	2.3982949908e-23	1.3318986822e-23	1.6929482212e-20	9.1136556862e-16	1.1922746615e-09	3.2436587489e-54	9.2973203614e-24	4.9477076944e-33	5.0974832238e-40	6.3071270211e-34	3.3655236203e-10	8.0627000961e-20	7.0037673604e-31	3.3121689287e-20	2.9596776125e-41	1.2869405310e-42	1.3620975308e-63	1.4716739184e-38	4.0330904660e-57	4.8303232192e-69	4.9833486714e-33	1.7168242169e-37	6.7039807728e-28	1.8803913730e-30	7.7883999939e-35	1.2140424425e-42	2.8951188647e-51	1.6609108255e-55	1.5752470823e-104	2.8484287103e-59	3.3431246385e-22	4.7035024294e-32	5.0435784227e-47	6.7188136439e-47	2.3571513393e-69	4.5717105068e-21	3.1232099967e-43	3.9430101870e-14	8.5566594584e-01	8.4293141287e-18	2.5623834107e-27	9.7853680087e-11	6.8698724661e-41	4.0667206102e-14	2.3228981005e-10	9.7872145184e-12	4.5112228636e-31	9.1803796674e-12	3.1762605549e-26	5.0558534189e-48	5.7487144836e-76	1.5106297103e-16	6.9839435929e-17	5.8571596798e-05	1.2363717940e-34	5.2531358869e-83	1.7889975055e-105	1.0311234215e-129	6.0327204588e-36	3.8237644254e-07	1.5234540870e-38	5.0404879330e-21	2.2209252479e-71	6.4136829776e-20	1.4539004541e-21	5.9380270358e-63	1.5822843281e-57	1.6936827866e-57	3.8065263725e-53	2.3514592618e-37	5.9889391244e-69	1.0219239404e-34	1.3314546866e-47	4.4107446635e-51	1.7787295697e-51	7.0240984356e-36	7.9797755200e-62	3.6395965793e-43	1.2148691531e-26	3.6824372850e-53	2.6771834109e-45	2.6613528901e-31	1.8995810453e-104	3.9253830999e-72	6.9064462463e-56	3.9704741795e-46	1.1983878813e-66	1.7685906308e-58	1.4113233773e-44	5.1387950874e-73	9.2516973156e-72	4.7952018089e-52	4.0696898643e-73	2.2348556512e-67	2.0713956530e-27	2.9661016063e-38
5.8661188294e-05	9.2000000000e+02	8.6488125873e+14	4.6182745353e+14	2.3041451157e+00	9.8429667236e-27	8.4196816341e-33	2.6901813886e-08	1.4427386648e-01	2.0200875167e-24	1.4227674567e-28	2.8294300575e-14	3.0369586152e-30	1.5979084813e-12	9.9178726520e-24	1.8961046179e-23	1.3318988910e-23	1.6929484866e-20	1.1527444965e-15	1.9074674135e-09	5.1893859393e-54	7.3505059366e-24	3.9116813626e-33	5.0974779480e-40	6.3071204934e-34	2.1036426439e-10	5.0396436515e-20	4.3777507899e-31	2.0702929435e-20	1.8499659311e-41	1.2869407327e-42	1.3620977443e-63	2.3544659073e-38	6.4523627719e-57	1.2363395159e-68	3.9398592895e-33	1.3573294355e-37	4.1903672143e-28	1.1753509783e-30	4.8681905711e-35	7.5884520260e-43	2.8951158683e-51	1.0381632205e-55	4.0319045471e-104	1.7804290741e-59	3.3431231704e-22	4.7035003640e-32	5.0435762079e-47	6.7188106935e-47	2.3571503042e-69	3.6144183418e-21	2.4692262296e-43	3.1173645664e-14	8.5566607995e-01	1.0661846372e-17	4.0994388206e-27	9.7853695424e-11	6.8698735428e-41	4.0667212476e-14	3.7162995529e-10	1.2379398631e-11	1.1546631957e-30	1.4687282742e-11	2.5111667833e-26	3.9971818896e-48	4.5449611605e-76	1.1943110726e-16	5.5215392011e-17	5.8571536177e-05	1.2363705144e-34	5.2531304500e-83	1.7889956539e-105	1.0311223543e-129	7.6304977017e-36	2.3900690689e-07	9.5224498327e-39	3.1505900888e-21	1.3882039134e-71	4.0089146707e-20	9.0877002815e-22	3.3517003415e-63	1.0952169582e-57	1.2091925400e-57	3.3326127283e-53	1.6788072832e-37	4.2757570982e-69	8.9469357852e-35	9.2159906158e-48	3.0530052458e-51	1.2699110739e-51	6.1495961306e-36	5.6971028497e-62	3.1864657430e-43	8.6734701959e-27	3.3253634358e-53	2.9646573350e-45	3.0398110925e-31	1.7153849064e-104	2.8024971208e-72	6.0465880702e-56	2.8346895508e-46	1.0491876152e-66	1.5970943027e-58	1.5628683486e-44	4.6404974751e-73	5.2220909175e-72	3.3191167011e-52	2.2971234091e-73	1.5469102266e-67	1.1691926419e-27	2.0530600736e-38
9.3849484855e-05	9.2000000000e+02	1.3836860769e+15	7.3885766495e+14	2.3041414172e+00	6.8328200699e-27	5.2627729442e-33	2.1268706002e-08	1.4427388152e-01	1.5970895787e-24	8.8930940647e-29	1.7685523754e-14	2.4010343763e-30	1.5979071276e-12	9.9178642499e-24	1.4990696106e-23	1.3318990301e-23	1.6929486634e-20	1.4580541185e-15	3.0516748251e-09	8.3022746898e-54	5.8113405149e-24	3.0925915277e-33	5.0974687788e-40	6.3071091483e-34	1.3148945615e-10	3.1500597540e-20	2.7363396164e-31	1.2940491295e-20	1.1563323974e-41	1.2869408671e-42	1.3620978866e-63	3.7668084315e-38	1.0322856838e-56	3.1644625493e-68	3.1148691137e-33	1.0731102878e-37	2.6192143789e-28	7.3466023980e-31	3.0428919688e-35	4.7432078487e-43	2.8951106607e-51	6.4891020182e-56	1.0319827829e-103	1.1128679643e-59	3.3431203383e-22	4.7034963794e-32	5.0435719352e-47	6.7188050016e-47	2.3571483073e-69	2.8575768685e-21	1.9521823678e-43	2.4646037157e-14	8.5566616932e-01	1.3485672035e-17	6.5585028337e-27	9.7853705644e-11	6.8698742603e-41	4.0667216723e-14	5.9455416726e-10	1.5658138653e-11	2.9554029769e-30	2.3497550037e-11	1.9853388860e-26	3.1601885994e-48	3.5932651655e-76	9.4422729314e-17	4.3653518194e-17	5.8571430821e-05	1.2363682904e-34	5.2531210009e-83	1.7889924360e-105	1.0311204995e-129	9.6514421644e-36	1.4939271313e-07	5.9520648784e-39	1.9692953960e-21	8.6770525466e-72	2.5057963687e-20	5.6803220412e-22	1.8863798217e-63	7.6028098267e-58	8.6079544239e-58	2.9261686792e-53	1.1951030214e-37	3.0438070023e-69	7.8557637778e-35	6.3975839208e-48	2.1193443097e-51	9.0401952415e-52	5.3995939685e-36	4.0556321723e-62	2.7978457189e-43	6.1744373763e-27	2.9942231099e-53	3.2925285788e-45	3.4620407656e-31	1.5445665496e-104	1.9950292227e-72	5.3091436758e-56	2.0179462270e-46	9.2122825750e-67	1.4380526102e-58	1.7357078164e-44	4.1783878982e-73	2.9390595609e-72	2.3040743555e-52	1.2928504357e-73	1.0738387662e-67	6.5803657326e-28	1.4251993804e-38
