H2,H2O,O2,CO,CO2,CH4,H2_melt,H2O_melt,O2_melt,CO2_melt,CO_melt,H2_fugacity
96.13049698396682,83.96024293319294,2.5472069599644756e-12,28.256140529712578,9.187127607633872,1.418030466182985,140.9660660419427,8835.36702855457,0.0,4.465914081881368,33.74104436838617,100
100.77467375894601,88.19340424143996,2.549068219571949e-12,27.98412029538391,9.103726496017863,1.5477246090694914,144.61745815463712,9055.210513384722,0.0,4.4364417248805115,33.30886238856551,105
105.40325848399029,92.42976129806475,2.5509325258253996e-12,27.723841744672782,9.02404890059097,1.6821810716888956,148.18700212608204,9269.9976149429,0.0,4.408610363884241,32.90211943563111,110
110.01627807296197,96.66928508063228,2.552799511990486e-12,27.474072705600275,8.947699010144154,1.8213066034160652,151.68013353691578,9480.071966099787,0.0,4.382237380633513,32.51790885085888,115
114.6137625738609,100.9119461578478,2.5546688515539466e-12,27.233724583357816,8.874327046345918,1.96500709868556,155.10170833790724,9685.740142021721,0.0,4.357161129084619,32.15368529559749,120
119.19574477273692,105.15771476948952,2.556540253173033e-12,27.00183442033399,8.803623523344003,2.113187513546682,158.45608605934058,9887.277019415378,0.0,4.333238344690413,31.807215504556105,125
123.7622598590061,109.40656089263344,2.558413456289828e-12,26.777549285206298,8.73531425121474,2.2657518314818277,161.7471982455786,10084.930178947992,0.0,4.310341886351121,31.476536281263563,130
128.31334514192227,113.65845429656808,2.560288227322223e-12,26.560112705769757,8.66915599243803,2.4226030661772917,164.97860520282265,10278.923551657455,0.0,4.288358771124715,31.159918642914477,135
132.8490398084668,117.91336458874677,2.562164356365986e-12,26.348852886124778,8.604932688793694,2.583643292119052,168.15354341192756,10469.46046220431,0.0,4.26718846521517,30.855837181953525,140
137.36938471650373,122.17126125313563,2.5640416543294793e-12,26.14317247246828,8.542452183453532,2.7487736959270292,171.27496541923145,10656.726186566886,0.0,4.246741397812841,30.562943844062644,145
141.87442221633398,126.43211368260586,2.5659199504518224e-12,25.942539659760925,8.481543371999573,2.9178946430861794,174.3455736150604,10840.890115632212,0.0,4.226937668252085,30.280045446307714,150
146.36419599645953,130.69589120628268,2.5677990901462912e-12,25.746480456550433,8.422053723996882,3.090905755928249,177.36784900827647,11022.10759643638,0.0,4.207705920382938,30.006084362703003,155
150.83875094950284,134.96256311277048,2.5696789331250957e-12,25.554571950493372,8.363847124824325,3.2677059998342806,180.34407587480817,11200.521507870193,0.0,4.188982361637955,29.740121897584626,160
155.29813305484132,139.23209867004115,2.5715593517686737e-12,25.36643643545569,8.306801993287923,3.448193775004692,183.27636298144793,11376.263616200677,0.0,4.170709906790791,29.481323936773663,165
159.74238927540299,143.50446714253155,2.573440229704455e-12,25.18173628287434,8.250809637507873,3.6322670119860945,186.1666619496555,11549.455746877513,0.0,4.1528374295512425,29.22894853706364,170
164.17156746682238,147.77963780581752,2.5753214605638077e-12,25.000169456708644,8.195772816882593,3.8198232696355325,189.0167832174115,11720.21080216047,0.0,4.135319107514722,28.982335168781834,175
168.5857162963348,152.05757995949324,2.5772029468984278e-12,24.821465581855996,8.14160448129253,4.010759833971542,191.82840997209289,11888.633648664327,0.0,4.118113847409798,28.740895363208526,180
172.98488517067048,156.3382629383407,2.5790845992291923e-12,24.645382493554603,8.08822666435391,4.204973817317745,194.6031103616782,12054.821894573617,0.0,4.101184780217189,28.504104566002656,185
177.36912417149657,160.62165612211265,2.5809663352108515e-12,24.471703203740375,8.035569510236629,4.402362257105194,197.34234823752755,12218.866572839957,0.0,4.084498816909182,28.271495024751683,190
181.73848399634417,164.9077289444608,2.5828480789042494e-12,24.300233221582157,7.98357041390694,4.602822212375457,200.04749263832997,12380.85274390872,0.0,4.068026255548841,28.042649548463235,195
186.09301590719969,169.19645090022203,2.584729760120906e-12,24.130798203066878,7.932173266876,4.806250861525536,202.7198261933814,12540.860029229216,0.0,4.051740436601323,27.817196063380592,200
190.43277167960863,173.48779155330845,2.586611313873705e-12,23.963241835682037,7.8813277780431275,5.012545590808878,205.36055258716365,12698.963085092983,0.0,4.035617431615983,27.594802745769687,205
194.75780356405681,177.78172054111195,2.588492679837826e-12,23.7974240404669,7.830988896748978,5.221604096462368,207.9708032203192,12855.23202461638,0.0,4.0196357799447116,27.375173894585718,210
199.06816423996386,182.0782075821434,2.5903738019451396e-12,23.633219269813484,7.7811162657780235,5.433324461775903,210.5516431550916,13009.732794855661,0.0,4.003776236835186,27.158046056830447,215
203.36390678192737,186.37722248001205,2.5922546279669747e-12,23.470515079015968,7.731673762692484,5.647605250000347,213.10407645267173,13162.527514528207,0.0,3.988021563524544,26.943184778948737,220
207.64508462502764,190.67873512831852,2.5941351091670984e-12,23.309210799427483,7.682629073309257,5.864345581962036,215.6290509665938,13313.674777392083,0.0,3.9723563307682634,26.73038160753157,225
211.91175153138977,194.98271551528518,2.596015199999107e-12,23.149216453152587,7.63395334351888,6.0834452358023245,218.12746266436923,13463.229925425145,0.0,3.956766760221782,26.519451632738495,230
216.16396156424094,199.28913372698318,2.5978948578084706e-12,22.990451561004356,7.585620794746795,6.304804685919,220.60015952593386,13611.245295350887,0.0,3.94124054423826,26.31023082565259,235
220.4017690567243,203.59795995175998,2.599774042604496e-12,22.83284436183688,7.537608474109841,6.528325214863692,223.0479450785811,13757.770441713621,0.0,3.9257667336001476,26.102574272134934,240
224.62522856426838,207.90916449144353,2.6016527169614942e-12,22.67633090154775,7.489895961003094,6.75390896500085,225.47158158663564,13902.852339354387,0.0,3.9103356004732075,25.89635414285713,245
