H2,H2O,O2,CO,CO2,CH4,H2_melt,H2O_melt,O2_melt,CO2_melt,CO_melt,H2_fugacity
97.10222271371461,102.00265901621333,8.831337371686928e-08,31.426706295730742,7.015475319904763,0.013783199841464302,140.96606604194127,9746.149298177881,0.0,3.20222881632876,36.15150986795966,100
101.83634868122398,107.13561248461274,8.83675074082147e-08,31.26882342790055,6.982369684611609,0.015115003771167859,144.61745815463712,9988.361263790146,0.0,3.1871322224295087,35.81766214747032,105
106.55915426785677,112.27172384904155,8.842170829873908e-08,31.122546460515046,6.951836845118917,0.01650613785142851,148.18700212608204,10224.980979998141,0.0,3.173208734180462,35.50961948325463,110
111.27068525946883,117.41099250331662,8.847596891767329e-08,30.98673475342129,6.923624000522782,0.017956564744428426,151.68013353691097,10456.388071121932,0.0,3.160343098381623,35.22470473352772,115
115.97098804556823,122.55341762359026,8.853028272385938e-08,30.860385787461215,6.897508953751542,0.019466252015130824,155.10170833790485,10682.921244983876,0.0,3.1484340121883214,34.960583979875835,120
120.66010946305707,127.69899820867614,8.85846439753032e-08,30.742615803749715,6.873295823042616,0.02103517094772105,158.45608605932534,10904.884208778858,0.0,3.1373921685864916,34.71521530904739,125
125.33809666952565,132.8477331128814,8.863904761893546e-08,30.632643443222857,6.850811417748468,0.02266329563493289,161.74719824557778,11122.550528904916,0.0,3.1271386045743386,34.48680613062811,130
130.0049970401535,137.99962107286072,8.869348919726038e-08,30.529775890749406,6.829902168763217,0.024350602272514833,164.9786052028095,11336.167656380825,0.0,3.117603302075724,34.273777487742024,135
134.66085808349905,143.15466072967217,8.874796476912247e-08,30.433397116410806,6.810431523404153,0.02609706861217478,168.15354341192568,11545.960286523985,0.0,3.1087240005094054,34.0747341217538,140
139.3057273725181,148.31285064696397,8.880247084228367e-08,30.34295786823028,6.792277728205892,0.027902673533397045,171.2749654192309,11752.133182691514,0.0,3.100445186141152,33.88843927101491,145
143.93965248787208,153.47418932603873,8.885700431590647e-08,30.257967135539687,6.775331937461777,0.02976739670847411,174.34557361505222,11954.873565000195,0.0,3.092717229894545,33.71379338747957,150
148.5626809712305,158.6386752183683,8.891156243134534e-08,30.177984845319973,6.759496594882329,0.031691218337898064,177.36784900827575,12154.353143225064,0.0,3.0854956496388106,33.54981609711544,155
153.17486028664996,163.80630673605657,8.896614272995947e-08,30.102615599844356,6.7446840459368,0.033674118943871345,180.3440758748078,12350.72985658274,0.0,3.078740477617691,33.395630865492635,160
157.77623778874315,168.97708226056318,8.902074301678498e-08,30.031503285475228,6.73081534317439,0.035716079201889295,183.2763629814275,12544.149370447281,0.0,3.0724157158370478,33.25045190562208,165
162.36686069613862,174.15100015007903,8.907536132925554e-08,29.964326428644746,6.717819217100387,0.0378170798127463,186.16666194965018,12734.746370256355,0.0,3.0664888669140193,33.11357298412076,170
166.9467760695914,179.3280587457101,8.912999591011465e-08,29.900794175302767,6.705631185173815,0.0399771013962401,189.0167832174113,12922.645685209895,0.0,3.060930527884375,32.98435780119398,175
171.5160307937349,184.5082563767309,8.91846451839515e-08,29.840642807212767,6.694192779761627,0.04219612440930581,191.8284099720921,13107.96326835032,0.0,3.0557140382340506,32.86223171057837,180
176.07467156203356,189.69159136501057,8.923930773677715e-08,29.783632710430098,6.683450876277199,0.04447412907714334,194.60311036167622,13290.807054836134,0.0,3.050815173598645,32.74667456114413,185
180.6227448642057,194.87806202880768,8.929398229825113e-08,29.729545736191458,6.673357108281789,0.04681109534250861,197.34234823737177,13471.277716414892,0.0,3.046211879105161,32.63721450168144,190
185.16029697589116,200.06766668598598,8.934866772613266e-08,29.67818289168467,6.663867355675203,0.04920700282122222,200.04749263813974,13649.469327034558,0.0,3.041884036032015,32.53342259204423,195
189.68737395010737,205.26040365676496,8.940336299266414e-08,29.62936231902677,6.654941296759001,0.05166183076923085,202.71982619282213,13825.469952058447,0.0,3.037813257586565,32.43490811192949,200
194.20402161023145,210.45627126607837,8.945806717261868e-08,29.582917519579574,6.646542014665062,0.05417555805504743,205.36055258721635,13999.362171533168,0.0,3.033982709466412,32.341314460721,205
198.71028554427645,215.6552678455928,8.951277943277556e-08,29.53869579122016,6.638635650977897,0.056748163138145236,207.9708032203524,14171.223546310746,0.0,3.030376951935564,32.252315566757346,210
203.20621110025718,220.8573917354456,8.956749902264075e-08,29.496556849643518,6.631191100141764,0.059379624051821074,210.55164315512087,14341.127034471187,0.0,3.0269818004939646,32.167612734333,215
207.6918433824843,226.0626412857359,8.962222526623939e-08,29.456371609376138,6.62417973926326,0.0620699183898176,213.10407645267543,14509.14136437127,0.0,3.0237842026836868,32.086931868429964,220
212.16722724864073,231.2710148578113,8.967695755484509e-08,29.41802110337197,6.617575188627,0.06481902329540015,215.6290509669027,14675.331369715823,0.0,3.0207721288973137,32.01002102556206,225
216.63240730753648,236.4825108253761,8.973169534052614e-08,29.381395524071312,6.611353099132713,0.06762691545381065,218.12746266436966,14839.75829127149,0.0,3.0179344754600357,31.936648248761472,230
221.08742791743197,241.6971275754463,8.978643813040101e-08,29.34639336889908,6.605490962875848,0.0704935710838417,220.60015952592957,15002.480049193367,0.0,3.0152609782631474,31.866599646239905,235
225.53233318486136,246.91486350917313,8.984118548151895e-08,29.31292068281736,6.599967945254835,0.07341896594175307,223.04794507860458,15163.551489388286,0.0,3.0127421362121383,31.799677693626244,240
229.9671669638495,252.13571704255676,8.989593699628966e-08,29.28089037168779,6.594764732737429,0.07640307530163405,225.47158159946656,15323.0246068769,0.0,3.010369141813799,31.735699702834857,245
