H2,H2O,O2,CO,CO2,CH4,H2_melt,H2O_melt,O2_melt,CO2_melt,CO_melt,number_Earth_oceans
0.0012777197699770024,0.0012936800065034668,8.69992646540058e-08,4.7548193842429475e-06,1.0534891303217475e-06,3.430920534774725e-19,0.383888708901668,34.70889361593105,0.0,4.813329705000177e-07,9.883688042785793e-12,1
0.005113073698933364,0.005177740391957843,8.703465872739256e-08,4.137717359077856e-224,9.169953101831955e-225,4.778985224221778e-236,0.7940842265259426,69.43805444972156,0.0,4.189706144708601e-225,0.0,2
0.011422687336661946,0.011566141616090923,8.700255810535921e-08,2.6251983408532506e-70,5.817275286810635e-71,1.5134332608069405e-81,1.210143116063228,103.78193846709338,0.0,2.6578932968416123e-71,4.239986525139314e-130,3
0.020580185989719647,0.02084603931730403,8.697092007938636e-08,1.8507904901145729e-56,4.1028171042936925e-57,3.4636253381942865e-67,1.6475921382450944,139.32834294745206,0.0,1.874572437543567e-57,1.3698917677886764e-104,4
0.031563425378816755,0.031957290862879344,8.699892240183703e-08,3.2441527038454826e-05,7.188268244632432e-06,1.4282340361668562e-15,2.0615850443092136,172.50944493367118,0.0,3.2843309923836668e-06,3.3974689720980294e-10,5
0.045450392599156085,0.0460114332695474,8.698578425137624e-08,7.956547735661905e-10,1.7626438438213484e-10,7.26642843387853e-20,2.495751467703337,206.99556404898937,0.0,8.053607437364068e-11,1.092781700381542e-18,6
0.06158506297181992,0.06234549498280238,8.700075264310448e-08,6.1696744562271675e-06,1.3665792097484445e-06,1.0338110254116037e-15,2.926550398257147,240.95225553472193,0.0,6.24402270905355e-07,1.597102527011427e-11,7
0.08076602615270452,0.08166447929517776,8.68676438185906e-08,2.175214013738622e-13,4.8123673985080244e-14,6.284312372132885e-23,3.373465209506462,275.768979106789,0.0,2.198836394214871e-14,2.9843423058324974e-25,8
0.10156559776450304,0.10277722437698475,8.694752715455124e-08,3.913508770137046e-08,8.66673436941746e-09,1.7854682140953867e-17,3.803983859183627,309.36960445530775,0.0,3.9599937469699084e-09,1.42903574613296e-15,9
0.12621168617375975,0.12747502700061755,8.675710332909496e-08,0.12437323237455243,0.027486388211185226,8.788816553935672e-11,4.262834128874082,344.54314473932567,0.0,0.012559676124368743,0.0013567666321589156,10
0.15039181002290233,0.15287672821064474,8.718317222868195e-08,27.705673051037877,6.140678295897172,2.7897528639504364e-08,4.6838330678674405,377.58478730258287,0.0,2.828905380539447,29.10867754380824,11
0.18010816449009742,0.18220680312838586,8.691669816590601e-08,0.18263177355084553,0.04042632326652948,2.6212996700125374e-10,5.136276160183984,411.92202263821395,0.0,0.018473328081625533,0.0027535217858215945,12
0.2108636763944226,0.21340193987710113,8.695817150159614e-08,0.01114042554463667,0.002467268855033138,2.190444262130687e-11,5.578676148585621,445.79022048004384,0.0,0.0011274115967631086,1.5934787445149556e-05,13
0.24275652023068986,0.2469558520655024,8.72173379176984e-08,32.617663150537375,7.229870241530554,8.569434074080775e-08,6.022597787887838,479.9666622740508,0.0,3.3356492228642733,39.428502105145,14
0.27838295544460745,0.2832669229717552,8.722810576276597e-08,34.15452854252525,7.570690946202097,1.1805488121239102e-07,6.4716535982862515,514.0643827894398,0.0,3.4945352189071053,42.95619135179401,15
