H2,H2O,O2,CO,CO2,CH4,H2_melt,H2O_melt,O2_melt,CO2_melt,CO_melt,H2_fugacity
1000.000000000001,903.3485744712107,2.957915972294818e-12,14.344390954302616,5.000000000000005,66.84815828786866,471.2527092535244,29003.806237491535,0.0,2.282473993109535,8.52485877762247,1000
1099.9999999999998,1002.6049250975993,3.011267954149535e-12,14.216750063203737,5.000000000000001,79.45317325988978,495.3924599647731,30555.699490831706,0.0,2.282473993109535,8.385649019391405,1100
1199.9999999999995,1103.69343520628,3.0662639146087146e-12,14.088678656828417,5.000000000000002,92.85990589838438,518.5084773688777,32059.116007774894,0.0,2.282473993109535,8.247023539586849,1200
1300.0000000000005,1206.6706516297554,3.1229562551258667e-12,13.960214109412002,4.999999999999999,107.00303175916703,540.7244986514469,33521.36449436268,0.0,2.2824739931095324,8.109034491026431,1300
1400.0000000000005,1311.5946215546908,3.1814000841778054e-12,13.831391857046675,5.000000000000001,121.81844803458273,562.1410537190787,34948.38624968637,0.0,2.2824739931095333,7.971730807077467,1400
1500.0000000000005,1418.5250053748284,3.241653407707117e-12,13.702245365216166,5.000000000000001,137.24332094176145,582.8411490748978,36345.09524172656,0.0,2.282473993109533,7.8351582359013605,1500
1599.9999999999993,1527.5231987321918,3.3037773347287886e-12,13.572806101780227,5.000000000000001,153.21612524594994,602.8942761908402,37715.61733207326,0.0,2.2824739931095324,7.699359383688207,1600
1700.0000000000025,1638.652464453012,3.3678362996456228e-12,13.443103514776759,5.000000000000004,169.6766762540293,622.3593115690348,39063.46299562105,0.0,2.2824739931095333,7.564373765796909,1700
1799.9999999999998,1751.9780751755131,3.4338983030045486e-12,13.31316501439203,4.999999999999999,186.56615463024986,641.2866617434576,40391.65486898647,0.0,2.282473993109534,7.430237864741991,1800
1899.9999999999977,1867.567467569939,3.502035172638639e-12,13.183015958436416,4.9999999999999964,203.82712439715417,659.7198805962595,41702.82382510585,0.0,2.2824739931095306,7.296985194000372,1900
2000.0000000000002,1985.4904091680705,3.5723228473825266e-12,13.052679640650004,4.999999999999998,221.40354448989214,677.6969095835274,42999.28262515012,0.0,2.2824739931095324,7.164646366647895,2000
2099.999999999999,2105.819178952338,3.644841685824717e-12,12.922177281154163,5.000000000000002,239.24077423238205,695.2510431415653,44283.08328154092,0.0,2.282473993109532,7.03324916787685,2100
2199.9999999999973,2228.6287630059373,3.7196768028769054e-12,12.79152801835366,4.9999999999999964,257.2855730992009,712.4116902816437,45556.06238285092,0.0,2.2824739931095315,6.902818630488535,2200
2300.000000000003,2353.9970666973477,3.796918437302403e-12,12.6607489015847,5.000000000000004,275.4860951183126,729.2049826558784,46819.87738594835,0.0,2.2824739931095346,6.773377112499217,2300
2399.9999999999945,2482.005145069585,3.8766623537628344e-12,12.529854883791046,4.999999999999993,293.791878257136,745.6542653353889,48076.036038939674,0.0,2.2824739931095315,6.644944376042446,2400
2499.9999999999995,2612.7374533300267,3.959010283422542e-12,12.398858813494217,5.0000000000000036,312.1538291181855,761.7804968406839,49325.92051829602,0.0,2.2824739931095364,6.517537666792165,2500
2600.0000000000014,2746.282119594516,4.04407040770516e-12,12.267771425305906,5.000000000000004,330.5242032512962,777.6025781425187,50570.80745666813,0.0,2.282473993109533,6.391171793174769,2600
2699.9999999999977,2882.7312423381995,4.131957890441178e-12,12.136601328202548,4.9999999999999964,348.85658136695446,793.1376254770396,51811.88474806135,0.0,2.282473993109533,6.26585920467314,2700
2800.0000000000014,3022.1812153482997,4.222795464393287e-12,12.005354990750973,5.000000000000001,367.105841710298,808.4011982846721,53050.26580765381,0.0,2.282473993109535,6.141610068561062,2800
2900.0,3164.733083372572,4.316714079019449e-12,11.874036722431002,4.999999999999998,385.2281288274767,823.4074909851252,54287.0018104115,0.0,2.28247399310953,6.018432344435035,2900
3000.0000000000014,3310.4929321195204,4.413853617354757e-12,11.742648650148958,4.999999999999999,403.1808189257828,838.1694953687231,55523.09231943948,0.0,2.2824739931095315,5.89633185593305,3000
3100.0000000000027,3459.572316805315,4.514363691091433e-12,11.611190688968671,5.000000000000004,420.92248199574885,852.6991389305134,56759.49463056404,0.0,2.2824739931095333,5.7753123590452695,3100
3200.0000000000023,3612.088734072868,4.6184045243472075e-12,11.479660506006228,5.000000000000004,438.4128408276116,867.007403368206,57997.132096225316,0.0,2.2824739931095364,5.655375606431441,3200
3299.999999999997,3768.166142848527,4.726147938279273e-12,11.34805347633204,4.9999999999999964,455.61272701526127,881.104426616171,59236.901643942525,0.0,2.2824739931095315,5.536521407156215,3300
3400.000000000002,3927.93554057364,4.837778450678153e-12,11.216362629600987,5.000000000000004,472.4840339982383,894.9995911301199,60479.68066855752,0.0,2.2824739931095355,5.418747681243909,3400
3499.999999999997,4091.5356022792434,4.953494507028015e-12,11.084578585978784,4.9999999999999964,488.98966714529894,908.7016006231318,61726.333450420374,0.0,2.282473993109529,5.3020505084288185,3500
3600.0,4259.113391196387,5.0735098623311095e-12,10.95268947974955,5.000000000000001,505.09349083124994,922.2185470489726,62977.717231707065,0.0,2.282473993109531,5.1864241704407545,3600
3700.0,4430.8251510542705,5.198055136367196e-12,10.820680868761402,5.000000000000001,520.7602724005907,935.5579693073963,64234.688068757016,0.0,2.2824739931095346,5.071861186108407,3700
3799.9999999999995,4606.837191966335,5.327379569121816e-12,10.68853562759512,4.999999999999999,535.9556228461455,948.7269048895216,65498.10656873104,0.0,2.282473993109531,4.958352338490783,3800
