# Data from Holland and Powell (1998), https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1525-1314.1998.00140.x
# Digital data obtained from Xiang and Connolly (2021), https://onlinelibrary.wiley.com/doi/full/10.1111/jmg.12626
name of phase component,,DfG,Hf,sd(Hf),S,V,a,b,c,d,e,f,g,a0,K,Tc,Smax,Vmax,v1,v2,k0,k0',v1,v2,v3,v4,d0,d1,d2,d3,d4,d5,d6,Tmin,Tmax,dv,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Index,?End-member ,DfG,DfH,,
MnCchloritoid ,mnctd,-3093616,-3329280,1710,166,7.175,464.4,-0.012654,-1147200,-4341,,,,0.0000542,1465000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Mn�Cchloritoid ,-3095300,-3330930,0,1650
MnCcordierite ,mncrd,-8191239,-8681180,3630,475,24.027,847.7,0.02849,-7668200,-5311.4,,,,0.0000076,810000,1800,20,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Mn�Ccordierite ,-8191830,-8681710,0,530
MnCstaurolite ,mnst,-22730540,-24203880,8900,1024,45.46,2873.3,-0.089064,-12688000,-24749,,,,0.000012,1200000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Mn�Cstaurolite ,-22732930,-24206000,0,2120
monticellite ,mont,-2135156,-2253050,590,108.1,5.148,250.7,-0.010433,-797200,-1996.1,,,,0.0000563,1120000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,monticellite ,-2134630,-2252900,0,-150
osumilite(1) ,osm1,-14122370,-14968190,4060,701,37.893,1625.8,-0.035548,-8063500,-13490.9,,,,0.0000076,810000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,osumilite(1) ,-14122730,-14968470,0,280
osumilite(2) ,osm2,-13972930,-14810340,4460,724,38.44,1610.6,-0.034457,-8262100,-13128.8,,,,0.0000076,810000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,osumilite(2) ,-13973340,-14810690,0,350
phase A ,phA,-6610174,-7130410,2220,350,15.442,964,-0.011521,-4517800,-7724.7,,,,0.0000826,1450000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,phase A ,-6609650,-7129870,0,-540
pumpellyite ,pump,-13448820,-14389500,2600,629,29.55,1720.8,-0.024928,-5998700,-14620.3,,,,0.00005,1615000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,pumpellyite ,-13448330,-14390450,0,950
pyrope ,py,-5934074,-6284720,1260,266.3,11.318,633.5,0,-5196100,-4315.2,,,,0.0000436,1737000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,pyrope ,-5933620,-6284230,0,-490
rankinite ,rnk,-3744458,-3944430,1510,210,9.651,372.3,-0.002893,-2462400,-2181.3,,,,0.000065,950000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,rankinite ,-3743350,-3944460,0,30
sillimanite ,sill,-2438689,-2585680,700,95.5,4.986,280.2,-0.0069,-1375700,-2399.4,,,,0.0000221,1320000,2200,4,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,sillimanite ,-2438930,-2585890,0,210
spessartine ,spss,-5326378,-5646400,3180,367,11.792,584.6,-0.001593,-7516700,-2750.1,,,,0.0000462,1790000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,spessartine ,-5326310,-5646300,0,-100
sphene ,sph,-2454564,-2595550,1040,131.2,5.565,233.7,0.004043,-2306500,-1207.6,,,,0.000042,1100000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,sphene ,-2454150,-2595550,0,0
spurrite ,spu,-5536430,-5849520,2460,330,14.697,614.1,-0.003508,-2493100,-4168,,,,0.000065,950000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,spurrite ,-5534670,-5849690,0,170
tephroite ,teph,-1631705,-1732280,1300,155.9,4.899,219.6,0,-1292700,-1308.3,,,,0.0000505,1200000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,tephroite ,-1631580,-1732150,0,-130
tilleyite ,ty,-6010067,-6368160,2450,390,17.039,741.7,-0.005345,-1434600,-5878.5,,,,0.000065,950000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,tilleyite ,-6008280,-6368330,0,170
hydroxytopaz ,tpz,-2689922,-2904980,970,100.5,5.339,387.7,-0.00712,-857200,-3744.2,,,,0.0000404,1315000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,hydroxytopaz ,-2689970,-2905000,0,20
vesuvianite ,vsv,-39905540,-42352670,9860,1890,85.2,4488,-0.057952,-22269300,-33478,,,,0.00005,1670000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,vesuvianite ,-39897470,-42351620,0,-1050
zircon ,zrc,-1918228,-2032770,1720,84.03,3.926,237,-0.01788,-149600,-2267.8,,,,0.0000222,1160000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,zircon ,-1917350,-2031850,0,-920
zoisite ,zo,-6502998,-6898610,1400,297,13.575,595.7,0.062297,-5921300,-3394.7,,,,0.000067,1120000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,zoisite ,-6502250,-6898570,0,-40
acmite ,acm,-2419328,-2586650,4280,170.6,6.459,307.1,0.016758,-1685500,-2125.8,,,,0.0000466,1060000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,acmite ,-2419310,-2586690,0,40
