# Data from Holland and Powell (1998), https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1525-1314.1998.00140.x
# Digital data obtained from Xiang and Connolly (2021), https://onlinelibrary.wiley.com/doi/full/10.1111/jmg.12626
name of phase component,,DfG,Hf,sd(Hf),S,V,a,b,c,d,e,f,g,a0,K,Tc,Smax,Vmax,v1,v2,k0,k0',v1,v2,v3,v4,d0,d1,d2,d3,d4,d5,d6,Tmin,Tmax,dv,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Index,?End-member ,DfG,DfH,,
analcite ,anl,-3091007,-3309900,1860,232,9.74,643.5,-0.016067,9302300,-9179.6,,,,0.00005,400000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,analcite ,-3090970,-3309900,0,0
anorthite ,an,-4007855,-4233480,840,200,10.079,371.6,0.012615,-4110200,-2038.4,,,,0.0000238,919000,2300,11,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,anorthite ,-4007510,-4233480,0,0
coesite ,coe,-850845.9,-905470,360,40.8,2.064,96.5,-0.000577,-444800,-798.2,,,,0.000018,1000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,coesite ,-850890,-905520,0,50
cristobalite ,crst,-853065.4,-905990,350,46.5,2.61,97.9,-0.00335,-636200,-774,,,,0.0000081,600000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,cristobalite ,-853120,-906040,0,50
heulandite ,heu,-9762054,-10599140,2900,669,31.8,1504.8,-0.033224,-2959300,-13297.2,,,,0.0000238,1000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,heulandite ,-9750350,-1059410,0,-9539730
high albite ,abh,-3706113,-3924800,1880,223.4,10.109,452,-0.013364,-1275900,-3953.6,,,,0.0000456,593000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,high albite ,-3706120,-3924840,0,40
kalsilite ,kals,-2006166,-2121920,3050,134,6.04,242,-0.004482,-895800,-1935.8,,,,0.0000576,590000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,kalsilite ,-2005980,-2121720,0,-200
laumontite ,lmt,-6707659,-7268470,1190,457,20.37,1013.4,-0.021413,-2235800,-8806.7,,,,0.0000238,1000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,laumontite ,-6707450,-7268610,0,140
leucite ,lc,-2866296,-3029160,2950,200,8.828,369.8,-0.016332,684700,-3683.1,,,,0.0000367,630000,938,18,0.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,leucite ,-2866190,-3029040,0,-120
meionite ,me,-13106120,-13843570,2780,752,33.985,1359,0.036442,-8594700,-9598.2,,,,0.0000316,870000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,meionite ,-13104740,-13843650,0,80
microcline ,mic,-3750228,-3975110,2920,216,10.892,448.8,-0.010075,-1007300,-3973.1,,,,0.0000335,574000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,microcline ,-3750190,-3975050,0,-60
nepheline ,ne,-1980453,-2095080,2070,124.4,5.419,272.7,-0.012398,0,-2763.1,,,,0.000081,600000,467,10,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,nepheline ,-1980350,-2095010,0,-70
quartz ,q,-856414.6,-910830,350,41.5,2.2688,110.7,-0.005189,0,-1128.3,,,,0.0000065,750000,847,4.95,0.1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,quartz ,-856460,-910880,0,50
sanidine ,san,-3744252,-3964960,2920,230,10.9,448.8,-0.010075,-1007300,-3973.1,,,,0.0000335,574000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,sanidine ,-3744210,-3964900,0,-60
stilbite ,stlb,-10004410,-10898830,2480,710,32.87,1588.4,-0.032043,-3071600,-13966.9,,,,0.0000238,1000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,stilbite ,-10004330,-10899100,0,270
stishovite ,stv,-816146.1,-875630,670,24.5,1.4014,68.1,0.00601,-1978200,-82.1,,,,0.000025,3160000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,stishovite ,-816200,-875680,0,50
tridymite ,trd,-853646.1,-906690,350,46.1,2.7,97.9,-0.00335,-636200,-774,,,,0.000005,750000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,tridymite ,-853690,-906730,0,40
wairakite ,wrk,-6220278,-6666420,1210,375,19.04,838.3,-0.02146,-2272000,-7292.3,,,,0.0000238,1000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,wairakite ,-6220050,-6666540,0,120
baddeleyite ,bdy,-1043250,-1101030,1700,50.4,2.115,90.7,0,-813300,-438.8,,,,0.0000376,2225000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,baddeleyite ,-1043570,-1101310,0,280
corundum ,cor,-1581750,-1675250,830,50.9,2.558,139.5,0.00589,-2460600,-589.2,,,,0.0000419,2520000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,corundum ,-1581720,-1675190,0,-60
geikielite ,geik,-1479086,-1567490,1060,74.6,3.086,151,0,-1890400,-652.2,,,,0.0000495,1770000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,geikielite ,-1478980,-1567420,0,-70
hematite ,hem,-743730.7,-825710,700,87.4,3.0274,163.9,0,-2257200,-657.6,,,,0.0000599,1996000,955,15.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,hematite ,-743730,-825730,0,20
hercynite ,herc,-1843802,-1959150,930,107.5,4.075,283.3,-0.005376,609800,-2713.6,,,,0.0000395,2120000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,hercynite ,-1843850,-1959180,0,30
ilmenite ,ilm,-1154732,-1231300,900,108.9,3.169,138.9,0.005081,-1288800,-463.7,,,,0.0000495,1770000,1900,11,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,ilmenite ,-1154630,-1231250,0,-50
lime ,lime,-603307.3,-634950,570,38.1,1.6764,52.4,0.003673,-750700,-51,,,,0.0000665,1160000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,lime ,-602920,-634940,0,-10
magnesioferrite ,mft,-1330005,-1440660,2140,126.5,4.457,217.9,0.000355,-3108000,-745.9,,,,0.0000696,1850000,665,12.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,magnesioferrite ,-1329870,-1440550,0,-110
magnetite ,mt,-1012308,-1115510,980,146.1,4.452,262.5,-0.007204,-1926200,-1655.7,,,,0.0000696,1850000,848,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,magnetite ,-1012310,-1115550,0,40
manganosite ,mang,-362815.6,-385150,520,59.7,1.3221,59.8,0.0036,-31400,-282.6,,,,0.000063,1640000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,manganosite ,-362830,-385160,0,10
nickel oxide ,NiO,-211272.7,-239440,380,38,1.097,47.7,0.007824,-392500,0,,,,0.000062,1650000,520,5.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,nickel oxide ,-211270,-239440,0,0
periclase ,per,-569286.5,-601600,300,26.9,1.125,60.5,0.000362,-535800,-299.2,,,,0.000062,1650000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,periclase ,-569340,-601650,0,50
pyrophanite ,pnt,-1280069,-1359240,2330,104.9,3.288,141.9,0.003373,-1940700,-407.6,,,,0.0000495,1770000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,pyrophanite ,-1279930,-1359140,0,-100
rutile ,ru,-888953.7,-944180,830,50.6,1.882,90.4,0.0029,0,-623.8,,,,0.0000443,2225000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,rutile ,-888920,-944190,0,10
spinel ,sp,-2176010,-2300720,930,81.5,3.978,242.7,-0.006037,-2315100,-1678.1,,,,0.0000431,1945000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,spinel ,-2175640,-2300310,0,-410
ulvospinel ,usp,-1401906,-1497490,1110,175,4.682,-102.6,0.14252,-9144500,5270.7,,,,0.000069,1850000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,ulvospinel ,-1401790,-1497440,0,-50
brucite ,br,-834258.6,-924920,330,64.5,2.463,158.4,-0.004076,-1052300,-1171.3,,,,0.00013,485000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,brucite ,-834310,-924970,0,50
diaspore ,dsp,-920788.2,-999470,420,35,1.776,145.1,0.008709,584400,-1741.1,,,,0.0000797,2300000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,diaspore ,-920730,-999400,0,-70
goethite ,gth,-490860.2,-561650,370,60.4,2.082,139.3,0.000147,-212700,-1077.8,,,,0.0000797,2300000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,goethite ,-490860,-561660,0,10
ankerite ,ank,-1819515,-1971270,1480,187,6.606,341,-0.001161,0,-3054.8,,,,0.0000635,900000,1273,9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,ankerite ,-1819290,-1971500,0,230
aragonite ,arag,-1128370,-1207580,520,89.5,3.415,192.3,-0.003052,1149700,-2118.3,,,,0.000115,650000,1240,9,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,aragonite ,-1128030,-1207650,0,70
calcite ,cc,-1129155,-1207470,520,92.5,3.689,140.9,0.005029,-950700,-858.4,,,,0.000044,760000,1240,10,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,calcite ,-1128810,-1207540,0,70
dolomite ,dol,-2161822,-2324430,700,156,6.434,358.9,-0.004905,0,-3456.2,,,,0.0000635,900000,1373,13,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,dolomite ,-2161510,-2324560,0,130
magnesite ,mag,-1027544,-1111360,360,65.1,2.803,186.4,-0.003772,0,-1886.2,,,,0.0000648,1460000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,magnesite ,-1027740,-1111590,0,230
rhodochrosite ,rhc,-817283,-891090,660,98,3.107,169.5,0,0,-1534.3,,,,0.000065,800000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,rhodochrosite ,-817220,-891060,0,-30
siderite ,sid,-688148.8,-761440,510,95,2.938,168.4,0,0,-1483.6,,,,0.00011,1200000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,siderite ,-688160,-761500,0,60
diamond ,diam,3095.636,2070,70,2.3,0.3417,24.3,0.006272,-377400,-273.4,,,,0.0000165,5800000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,diamond ,3130,2070,0,0
graphite ,gph,0,0,0,5.85,0.5298,51,-0.004428,488600,-805.5,,,,0.0000484,390000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,graphite ,0,0,0,0
iron ,iron,0,0,0,27.32,0.7092,46.2,0.005158,723100,-556.2,,,,0.0000746,1680000,1042,8.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,iron ,0,0,0,0
nickel ,Ni,0,0,0,29.87,0.6588,49.8,0,585900,-533.9,,,,0.0000886,1870000,631,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,nickel ,0,0,0,0
CH4 ,CH4,-50660,-74810,390,186.26,0,150.1,0.002062,3427700,-2650.4,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,CH4 ,-50660,-74810,0,0
CO ,CO,-137130,-110530,190,197.67,0,45.7,-0.000097,662700,-414.7,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,CO ,-137130,-110530,0,0
CO2 ,CO2,-394332.9,-393510,80,213.7,0,87.8,-0.002644,706400,-998.9,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,CO2 ,-394300,-393510,0,0
H2 ,H2,-0.004549408,0,0,130.7,0,23.3,0.004627,0,76.3,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,H2 ,0,0,0,0
H2O ,H2O,-228542.3,-241810,20,188.8,0,40.1,0.008656,487500,-251.2,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,H2O ,-228540,-241810,0,0
O2 ,O2,0,0,0,205.2,0,48.3,-0.000691,499200,-420.7,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,O2 ,0,0,0,0
albite liquid ,abL,-3692308,-3934370,1890,145,10.71,358.5,0,0,0,,,,0.000045,390000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,albite liquid ,-3692308,-3934370,0,0
anorthite liquid ,anL,-3987999,-4257750,920,52,10.206,417.5,0,0,0,,,,0.000049,200000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,anorthite liquid ,-3987999,-4257750,0,0
diopside liquid ,diL,-2998363,-3208180,860,23.8,7.34,345.3,0,0,0,,,,0.000129,300000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,diopside liquid ,-2998363,-3208180,0,0
enstatite liquid ,enL,-2876919,-3091760,1000,-2,6.9,354.9,0,0,0,,,,0.000129,260000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,enstatite liquid ,-2876919,-3091760,0,0
fayalite liquid ,faL,-1345534,-1459210,780,102.5,4.695,239.7,0,0,0,,,,0.000169,410000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,fayalite liquid ,-1345534,-1459210,0,0
forsterite liquid ,foL,-2061306,-2225160,790,-55,4.243,267.9,0,0,0,,,,0.000145,730000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,forsterite liquid ,-2061306,-2225160,0,0
H2O liquid ,h2oL,-239717.4,-295710,210,45.5,1.414,80,0,0,0,,,,0.001079,40000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,H2O liquid ,-239717.4,-295710,0,0
K-feldspar liquid ,kspL,-3741998,-3992670,2930,129.5,11.468,367.3,0,0,0,,,,0.00006,260000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,K-feldspar liquid ,-3741998,-3992670,0,0
silica liquid ,qL,-858980.9,-920850,370,16.5,2.64,82.5,0,0,0,,,,-0.000005,470000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,silica liquid ,-858980.9,-920850,0,0
sillimanite liquid ,silL,-2419264,-2583100,870,39,6.419,237.6,0,0,0,,,,0.00001,300000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,sillimanite liquid ,-2419264,-2583100,0,0
Sylvite liquid,syvL,-392382,-416490,,95.3,3.857,66.9,0,0,0,,,,0.0005,59000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-392382,-416490,0,0
halite liquid,hltL,-368650.2,-393420,,79.7,2.965,72,-0.003223,0,0,,,,0.0005,66000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-368650.2,-393420,0,0
fayalite liquid ,fa8L,-2691088,-2918440,1560,205,9.39,479.4,0,0,0,0,0,0,0.000169,410000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forsterite liquid ,fo8L,-4122632,-4450340,1580,-110,8.486,535.8,0,0,0,0,0,0,0.000145,730000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silica liquid ,q8L,-3435943.6,-3683420,1480,66,10.56,330,0,0,0,0,0,0,-0.000005,470000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sillimanite liquid ,sil8L,-3870842.4,-4132980,1392,62.4,10.2704,380.16,0,0,0,0,0,0,0.00001,300000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferric opx,mots,-2571125,-2742550,725,149.25,6.1347,383.6,-0.007027,-296700,-3581.3,0,0,0,0.0000598,882000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
