H2_g,H2O_g,O2_g,OSi_g,H4Si_g,O2Si_l,degree_of_condensation_Si,total_pressure,log_fO2_dIW,melt_fraction_H,fugacity_coefficient_H2,fugacity_coefficient_H2O
60342.47186413654,335.4673471828008,6.35407635408676e-08,328.28074480346436,16796.03296690056,0.9999999999999998,0.9217028613986538,77802.2529230869,-6.0,0.0,1.0000000000000027,1.0000000000000027
57863.10664543863,343.7446436338192,7.255485838007956e-08,307.2121412452331,13525.394765841747,0.9999999999999998,0.9300678354675516,72039.458196232,-5.836734693877551,0.0,1.0000000000000027,1.0000000000000027
55010.11095731782,349.59369480331577,8.303099727564369e-08,287.1782188623154,10682.127125010767,1.000000000000008,0.9383753638465457,66329.00999607725,-5.673469387755102,0.0,1.0000000000000024,1.0000000000000024
51854.67309748136,353.36624879952825,9.547121392749454e-08,267.8153112162914,8254.985431785055,0.9999999999999999,0.9465413477344492,60730.84008937771,-5.510204081632653,0.0,1.000000000000001,1.000000000000001
48488.08339482828,355.7207147127563,1.106487189697243e-07,248.77024253208754,6227.827861172649,0.9999999999999999,0.9544596308688033,55320.40221335642,-5.346938775510204,0.0,1.0000000000000024,1.0000000000000024
45024.669370273994,357.7141991073005,1.2976853679196044e-07,229.71371257056884,4578.725537010666,0.9999999999999999,0.9619988654040771,50190.8228190923,-5.183673469387755,0.0,1.0000000000000004,1.0000000000000004
41601.19974201636,360.8911538030588,1.5471729941125318e-07,210.3789031976068,3278.5800295137174,0.9999999999999999,0.9690052586478667,45451.049828685456,-5.020408163265306,0.0,1.0000000000000013,1.0000000000000013
38368.20614886195,367.3269469273426,1.884346226509386e-07,190.63001127113878,2289.7878247711533,0.9999999999999999,0.9753173558036327,41215.95093202002,-4.857142857142858,0.0,1.0000000000000022,1.0000000000000022
35469.884666294136,379.5781402110611,2.3544037902190744e-07,170.541920990206,1566.2156485737858,1.0,0.9807964062758758,37586.22037630463,-4.6938775510204085,0.0,1.0000000000000022,1.0000000000000022
33016.73842688386,400.5453038901451,3.025750154784142e-07,150.43714840745295,1055.961850452958,1.0,0.9853643607923844,34623.68272993699,-4.530612244897959,0.0,1.0000000000000016,1.0000000000000016
31065.054367808614,433.36487595174606,4.000933156603637e-07,130.82507032017796,706.9617137442885,1.0,0.9890281223844853,32336.20602822492,-4.36734693877551,0.0,1.0000000000000024,1.0000000000000024
29616.464142057182,481.4997024081835,5.434051431515924e-07,112.25604895852491,473.1029162680916,1.0,0.9918726591823912,30683.32281023539,-4.204081632653061,0.0,1.0000000000000022,1.0000000000000022
28636.02664443258,549.1130320906029,7.55955271607371e-07,95.17515105084989,317.93795038168633,1.0,0.9940289214431587,29598.25277871167,-4.040816326530612,0.0,1.000000000000002,1.000000000000002
28075.544807573548,641.7084397283311,1.0740320245478272e-06,79.84781000935602,215.10579399030362,1.0,0.9956382661030184,29012.206852375573,-3.8775510204081636,0.0,1.0000000000000018,1.0000000000000018
27891.32863435268,767.0443101193107,1.5548933759987187e-06,66.36228296185355,146.63942422394334,1.0,0.9968288558521976,28871.374653212686,-3.7142857142857144,0.0,1.0000000000000016,1.0000000000000016
28054.064656203573,936.4751210622044,2.2908624562181607e-06,54.67290083159489,100.69444828679394,1.0,0.9977059482380033,29145.90712867503,-3.5510204081632657,0.0,1.0000000000000024,1.0000000000000024
28553.36362923278,1167.0893086861488,3.434723193437473e-06,44.65044107032286,69.57220435851593,1.0,0.9983511751902102,29834.67558678249,-3.3877551020408165,0.0,1.0000000000000004,1.0000000000000004
29400.2670315371,1485.3826356912275,5.247739267341762e-06,36.12314048872544,48.277331336917364,1.0,0.9988258088385091,30970.050144301713,-3.2244897959183674,0.0,1.0000000000000022,1.0000000000000022
30630.263944161765,1934.0005833724622,8.196148846755534e-06,28.904582866702118,33.55093255296715,1.0,0.9991750231089055,32626.72005115004,-3.0612244897959187,0.0,1.0000000000000016,1.0000000000000016
32308.98524595755,2585.042452052486,1.3160937806399143e-05,22.81015341802965,23.24731249904072,1.0,0.9994318318387997,34940.08517708805,-2.8979591836734695,0.0,1.0000000000000013,1.0000000000000013
34543.468903436,3568.8633072014713,2.1944518000441954e-05,17.66479499066376,15.937448849809273,1.0,0.9996202953342196,38145.93447642246,-2.734693877551021,0.0,1.000000000000002,1.000000000000002
37504.76318446511,5145.031805096113,3.8690236657219745e-05,13.303653703933223,10.655759828926367,1.0,0.9997579815229681,42673.754441784324,-2.5714285714285716,0.0,1.0000000000000009,1.0000000000000009
41475.725616888645,7914.978015480703,7.487029667973427e-05,9.56349968001483,6.734283352022846,1.0,0.9998578093134037,49407.00149027168,-2.408163265306123,0.0,1.0000000000000009,1.0000000000000009
46953.9174085574,13718.984613256627,0.00017550859449514812,6.24629412700821,3.6817833508694977,1.0,0.9999294781119185,60682.83027480049,-2.2448979591836737,0.0,1.0000000000000044,1.0000000000000044
54182.80208868371,34507.98183635111,0.0008339006516453493,2.8655927391915204,1.0318618671793283,1.0,0.9999810591827841,88694.68221354183,-2.0816326530612246,0.0,1.0000000000000016,1.0000000000000016
41188.55692527723,103738.91936851227,0.013041525665586492,0.7246151744142701,0.038127445305486424,1.0,0.9999977315286311,144928.25207793489,-1.9183673469387754,0.0,1.0000000000000038,1.0000000000000038
30440.587829261156,130940.70504730275,0.038040077613855715,0.42427840499069885,0.007139661625670362,1.0,0.9999988477377187,161381.76233470812,-1.7551020408163271,0.0,1.0,1.0
