#p(bar)         	T(K)            	n_<tot>(cm-3)   	n_g(cm-3)       	m(u)            	e-              	C               	H               	He              	N               	O               	Si              	C1H1            	C1H1N1          	C1H1N1O1        	C1H1O1          	C1H2            	C1H2O1          	C1H3            	C1H4            	C1H4O2          	C1N1            	C1N1O1          	C1N2_cnn        	C1N2_ncn        	C1O1            	C1O2            	C1Si1           	C1Si2           	C2              	C2H2O2          	C2H2O4          	C2H4O1          	C2H4O3          	C2H6O2          	C2N1            	C2N1O1          	C2Si1           	C2Si2           	C2O1            	C3              	C3N2O1          	C4              	C4H6O4          	C5              	H1N1            	H1N1O1          	H1N1O2_cis      	H1N1O2_trans    	H1N1O3          	H1O1            	H1O2            	H1Si1           	H2              	H2N1            	H2N2            	H2O1            	H2O2            	H2Si1           	H3N1            	H3Si1           	H4N2            	H4Si1           	N1O1            	N1O2            	N1O3            	N1Si1           	N1Si2           	N2              	N2O1            	N2O3            	N2O4            	N2O5            	N3              	O1Si1           	O2              	O2Si1           	O3              	Si2             	Si3             	C1+             	C1-             	C1H1+           	C1H1-           	C1H1O1+         	C1N1+           	C1N1-           	C1O2-           	C2-             	H1+             	H1-             	H1O1+           	H1O1-           	H1Si1+          	H2+             	H2-             	H3O1+           	He1+            	N1+             	N1-             	N1O1+           	N1O2-           	N2+             	N2-             	N2O1+           	O1+             	O1-             	O2+             	O2-             	Si1+            	Si1-            
1.8650055793e-06	9.2000000000e+02	2.7504351233e+13	1.4682804807e+13	3.2110538518e+00	3.9195253845e-27	1.4421481312e-27	1.4797177265e-07	1.4181008737e-01	8.5896955066e-23	3.9456321871e-24	1.1448425849e-18	9.0966119157e-26	6.4703765904e-08	3.5408549631e-16	5.0074318018e-16	6.9765167684e-20	7.8184935576e-14	1.0559103200e-12	3.0554676946e-07	6.4619031972e-46	1.7020342581e-18	7.9859482094e-25	1.5956707473e-34	1.9743268679e-28	3.1768603282e-02	6.7102382202e-09	9.6458683073e-32	5.8681091997e-27	1.7255256214e-32	2.8536014729e-29	2.3478316639e-44	1.8107913435e-29	3.8576132815e-42	2.5637689985e-58	4.9679275817e-24	1.5090087793e-25	5.0278910330e-25	1.8141677352e-33	4.0034757908e-23	3.8543784553e-30	2.3694786094e-35	2.8715096595e-39	1.9273573846e-80	2.6817161089e-39	2.4859165950e-21	3.0836658553e-28	2.9153900778e-40	3.8837430472e-40	1.2013161465e-59	1.7528618309e-17	1.0558010813e-36	2.2057739293e-19	8.2305379326e-01	1.3864148079e-17	7.2064609981e-27	8.2987578034e-08	5.1368461133e-35	5.0320436698e-20	8.4508048500e-11	2.6787126984e-18	6.2073486329e-32	5.5576940579e-19	9.4144530974e-22	1.3212512255e-40	1.3245660590e-65	6.5328266572e-21	3.8852585765e-27	3.3669065448e-03	6.2662113733e-30	2.0696575640e-72	6.2144335553e-92	3.1580166811e-113	5.9297198607e-34	8.5264690173e-09	2.3283235036e-31	9.9097482868e-20	2.9926770095e-61	2.0866505165e-30	6.0848936471e-38	4.5346381892e-56	2.3749315929e-54	2.8608791240e-51	1.2637535415e-50	3.5020056961e-28	7.8203708124e-62	2.6227816019e-31	1.5535201010e-38	3.6051386842e-44	5.5173924894e-49	4.2823351268e-37	2.1823609543e-56	1.9563892346e-41	4.8476309706e-30	2.5265405802e-51	3.6102323363e-47	3.5610026944e-27	1.3318162035e-102	9.4127389743e-69	3.2550278645e-56	8.3943736608e-40	4.3905749101e-61	7.2516738640e-55	1.1373747613e-44	1.8577368604e-66	1.1439060576e-65	1.1653112554e-49	4.4365176406e-64	4.7884668281e-62	3.7367680635e-30	1.0516838717e-44
2.9837466215e-06	9.2000000000e+02	4.4003105842e+13	2.3490422616e+13	3.2110560557e+00	4.3293910521e-27	9.0142182029e-28	1.1698708702e-07	1.4181012580e-01	6.7910499323e-23	3.9456261070e-24	2.7957716672e-19	7.1918184844e-26	6.4703767436e-08	5.6648613390e-16	6.3336670490e-16	6.9765152606e-20	1.2508468075e-13	1.3355735087e-12	4.8883164595e-07	2.6460883228e-45	1.3456355495e-18	1.0101056023e-24	1.5956711678e-34	1.9743273881e-28	3.1768554328e-02	1.0735404299e-08	2.3555767120e-32	5.5987598497e-28	1.0785483217e-32	7.3039114269e-29	1.5381241966e-43	4.6348017525e-29	2.5272238557e-41	1.6795946832e-57	3.9276647515e-24	1.9086753155e-25	1.2278400088e-25	1.7308964661e-34	4.0034696215e-23	2.4091983120e-30	3.7908276748e-35	1.7948513112e-39	3.2318420179e-79	1.6762199139e-39	2.4859166538e-21	4.9334241780e-28	7.4620637155e-40	9.9406039326e-40	4.9192708111e-59	2.2171132148e-17	2.1365025937e-36	6.8133041833e-20	8.2305361538e-01	1.7536142022e-17	1.1529324584e-26	1.3276821971e-07	1.3147970865e-34	1.9659933126e-20	1.3520096587e-10	1.3237458963e-18	1.5888016220e-31	3.4738733563e-19	1.1907905694e-21	2.6736640047e-40	4.2882113714e-65	2.0178924628e-21	4.6887226074e-28	3.3669074319e-03	1.0025044073e-29	8.4750450701e-72	4.0712353235e-91	3.3099406944e-112	7.5002415518e-34	3.3312427235e-09	3.7249786565e-31	6.1941371666e-20	7.6598708878e-61	1.9908721420e-31	2.2682158091e-39	1.6039310603e-56	2.6232787337e-54	1.2799217542e-51	1.7656172976e-50	2.5065818796e-28	3.4987375193e-62	3.6643455568e-31	4.3921026537e-38	3.9821288625e-44	2.4684128087e-49	5.9829426591e-37	1.5620381283e-56	4.3729105053e-41	8.4732728621e-31	1.4297201748e-51	6.3798460141e-47	4.0777355832e-27	7.5364925377e-103	4.2111434098e-69	4.5476706424e-56	6.0083254511e-40	1.5700661701e-60	4.1035831676e-55	2.0099203159e-44	1.6818618120e-66	6.4731333219e-66	2.0592847845e-49	4.0164978653e-64	1.3537924517e-61	5.1638893489e-31	4.5385411368e-45
4.7735766428e-06	9.2000000000e+02	7.0398833525e+13	3.7581385739e+13	3.2110596854e+00	4.8152216668e-27	5.6343796530e-28	9.2490443287e-08	1.4181018203e-01	5.3690324325e-23	3.9456159941e-24	6.8274424318e-20	5.6858794985e-26	6.4703766994e-08	9.0629613398e-16	8.0111526963e-16	6.9765124832e-20	2.0011737524e-13	1.6893067470e-12	7.8206153721e-07	1.0835467228e-44	1.0638650841e-18	1.2776347924e-24	1.5956717812e-34	1.9743281471e-28	3.1768472903e-02	1.7175055063e-08	5.7524598963e-33	5.3417861058e-29	6.7415172143e-33	1.8694636192e-28	1.0076613873e-42	1.1862975207e-28	1.6556474538e-40	1.1003467994e-56	3.1052281525e-24	2.4141931150e-25	2.9984590924e-26	1.6514512037e-35	4.0034593604e-23	1.5058807812e-30	6.0647800625e-35	1.1218802874e-39	5.4192215866e-78	1.0477291723e-39	2.4859166368e-21	7.8927673464e-28	1.9099440399e-39	2.5443359851e-39	2.0143886602e-58	2.8043205257e-17	4.3233863899e-36	2.1045295085e-20	8.2305328772e-01	2.2180684502e-17	1.8445304099e-26	2.1240992489e-07	3.3652726273e-34	7.6810425413e-21	2.1630251938e-10	6.5415950233e-19	4.0666183390e-31	2.1713703469e-19	1.5061746599e-21	5.4103782161e-40	1.3882824296e-64	6.2329756314e-22	5.6583558680e-29	3.3669087262e-03	1.6038631306e-29	3.4704414576e-71	2.6671642338e-90	3.4691622473e-111	9.4867286956e-34	1.3014979001e-09	5.9594135211e-31	3.8716746848e-20	1.9605685383e-60	1.8994944295e-32	8.4550724794e-41	5.6342006478e-57	2.9176548029e-54	5.6868389009e-52	2.4838589926e-50	1.7817642759e-28	1.5545297475e-62	5.1549796419e-31	1.2503270996e-37	4.4289908091e-44	1.0967440734e-49	8.4167650295e-37	1.1103502172e-56	9.8419645939e-41	1.4708791917e-31	8.0348809033e-52	1.1352237085e-46	4.6373427803e-27	4.2354349579e-103	1.8710599653e-69	6.3976361443e-56	4.2709252479e-40	5.6534060776e-60	2.3061735024e-55	3.5764358187e-44	1.5121674806e-66	3.6378267319e-66	3.6642637511e-49	3.6112357819e-64	3.8539249264e-61	7.0869904315e-32	1.9721686577e-45
7.6370577657e-06	9.2000000000e+02	1.1262839824e+14	6.0124982855e+13	3.2110656046e+00	5.3775883935e-27	3.5217938548e-28	7.3123274107e-08	1.4181026977e-01	4.2447788595e-23	3.9455999934e-24	1.6673049600e-20	4.4952765965e-26	6.4703764889e-08	1.4499416584e-15	1.0132910157e-15	6.9765078472e-20	3.2015841697e-13	2.1367276579e-12	1.2511878713e-06	4.4370065569e-44	8.4109605877e-19	1.6160179736e-24	1.5956727377e-34	1.9743293306e-28	3.1768344071e-02	2.7477473101e-08	1.4047873728e-33	5.0966247668e-30	4.2138150710e-33	4.7849517010e-28	6.6013990534e-42	3.0363765996e-28	1.0846527149e-39	7.2086493265e-56	2.4550059962e-24	3.0535951971e-25	7.3224282253e-27	1.5756578304e-36	4.0034431251e-23	9.4125742456e-31	9.7027698670e-35	7.0123622215e-40	9.0870319074e-77	6.5488774060e-40	2.4859165559e-21	1.2627276832e-27	4.8885657174e-39	6.5123131413e-39	8.2486807886e-58	3.5470461014e-17	8.7487024869e-36	6.5005927378e-21	8.2305274078e-01	2.8055361813e-17	2.9509915581e-26	3.3982469149e-07	8.6135225191e-34	3.0009520265e-21	3.4605366322e-10	3.2326856864e-19	1.0408722960e-30	1.3572338173e-19	1.9050869124e-21	1.0948320368e-39	4.4944661412e-64	1.9252788601e-22	6.8285366085e-30	3.3669107445e-03	2.5659487556e-29	1.4211051937e-70	1.7473168989e-89	3.6360257027e-110	1.1999356574e-33	5.0848820275e-10	9.5341542792e-31	2.4200073393e-20	5.0181206290e-60	1.8123171093e-33	3.1517566075e-42	1.9710456576e-57	3.2584058824e-54	2.5163801134e-52	3.5086427806e-50	1.2613510715e-28	6.8786724621e-63	7.2818117250e-31	3.5740098619e-37	4.9462498755e-44	4.8530036177e-50	1.1889331055e-36	7.8604193340e-57	2.2242030386e-40	2.5428544002e-32	4.4970291863e-52	2.0283113130e-46	5.2521463542e-27	2.3705266193e-103	8.2792939017e-70	9.0371611770e-56	3.0234861117e-40	2.0440122857e-59	1.2907400598e-55	6.3900483633e-44	1.3540263627e-66	2.0360423152e-66	6.5469408041e-49	3.2335609335e-64	1.1016289816e-60	9.6864667624e-33	8.6050717689e-46
1.2218238123e-05	9.2000000000e+02	1.8019006530e+14	9.6191672263e+13	3.2110751017e+00	6.0211507870e-27	2.2013110923e-28	5.7811486828e-08	1.4181040869e-01	3.3559387132e-23	3.9455744328e-24	4.0716753339e-21	3.5539795902e-26	6.4703760550e-08	2.3196913047e-15	1.2816587241e-15	6.9765002923e-20	5.1220539613e-13	2.7026494628e-12	2.0017235312e-06	1.8169000254e-43	6.6497382281e-19	2.0440185555e-24	1.5956742517e-34	1.9743312038e-28	3.1768138269e-02	4.3959594106e-08	3.4305890240e-34	4.8627435617e-31	2.6338616736e-33	1.2247190688e-27	4.3246832054e-41	7.7717156153e-28	7.1057735649e-39	4.7225536326e-55	1.9409373106e-24	3.8623365247e-25	1.7881881902e-27	1.5033517908e-37	4.0034171898e-23	5.8833665308e-31	1.5523006478e-34	4.3831045705e-40	1.5237174606e-75	4.0934015647e-40	2.4859163893e-21	2.0201767499e-27	1.2512405786e-38	1.6668427785e-38	3.3777193039e-57	4.4864728002e-17	1.7703598426e-35	2.0079462206e-21	8.2305184949e-01	3.5485984973e-17	4.7211784729e-26	5.4366848252e-07	2.2046503158e-33	1.1724631199e-21	5.5363745150e-10	1.5975138710e-19	2.6641700367e-30	8.4835348674e-20	2.4096470847e-21	2.2154698301e-39	1.4550440857e-63	5.9469351392e-23	8.2407703188e-31	3.3669139391e-03	4.1051410784e-29	5.8192327290e-70	1.1446978646e-88	3.8108849346e-109	1.5177485681e-33	1.9866377162e-10	1.5253133020e-30	1.5126350999e-20	1.2843922466e-59	1.7291509104e-34	1.1748758788e-43	6.8776444447e-58	3.6483553050e-54	1.1106067269e-52	4.9690357288e-50	8.9063494604e-29	3.0359116370e-63	1.0312711111e-30	1.0242526207e-36	5.5381918718e-44	2.1418777055e-50	1.6837995344e-36	5.5502106490e-57	5.0394958356e-40	4.3847633339e-33	2.5104454043e-52	3.6333613959e-46	5.9331128610e-27	1.3233380716e-103	3.6540778530e-70	1.2798687470e-55	2.1348736179e-40	7.4092849908e-59	7.2055103499e-56	1.1446666034e-43	1.2092964366e-66	1.1366049193e-66	1.1727624594e-48	2.8879088175e-64	3.1570880187e-60	1.3205323249e-33	3.7643244682e-46
1.9547518066e-05	9.2000000000e+02	2.8828002996e+14	1.5389358371e+14	3.2110902941e+00	6.7527387763e-27	1.3759364753e-28	4.5705897398e-08	1.4181062991e-01	2.6532173583e-23	3.9455335350e-24	9.9433569372e-22	2.8097846193e-26	6.4703752895e-08	3.7111514648e-15	1.6210971270e-15	6.9764881023e-20	8.1944899556e-13	3.4184568449e-12	3.2024740193e-06	7.4399432825e-43	5.2573072404e-19	2.5853668712e-24	1.5956766622e-34	1.9743341864e-28	3.1767808976e-02	7.0327909580e-08	8.3777728756e-35	4.6396389197e-32	1.6463035871e-33	3.1346769769e-27	2.8331377265e-40	1.9891931618e-27	4.6550944211e-38	3.0938394436e-54	1.5345121005e-24	4.8852574598e-25	4.3668986322e-28	1.4343774024e-38	4.0033756924e-23	3.6774168973e-31	2.4834477740e-34	2.7396734039e-40	2.5549499129e-74	2.5585936220e-40	2.4859160951e-21	3.2319739654e-27	3.2025641828e-38	4.2663026375e-38	1.3831176209e-56	5.6746839308e-17	3.5824218447e-35	6.2023048009e-22	8.2305041138e-01	4.4884661332e-17	7.5532412062e-26	8.6978504188e-07	5.6428178209e-33	4.5808002960e-22	8.8574291862e-10	7.8945602846e-20	6.8191014958e-30	5.3027517573e-20	3.0478303278e-21	4.4831340237e-39	4.7105386406e-63	1.8369398579e-23	9.9451759822e-32	3.3669190254e-03	6.5676088507e-29	2.3828790124e-69	7.4990400858e-88	3.9941022155e-108	1.9197396510e-33	7.7617044450e-11	2.4402430951e-30	9.4547736348e-21	3.2873825591e-59	1.6498167670e-35	4.3796331023e-45	2.3959248792e-58	4.0916414833e-54	4.8936726663e-53	7.0487759361e-50	6.2784564328e-29	1.3377176310e-63	1.4629017037e-30	2.9401169336e-36	6.2110988955e-44	9.4377677786e-51	2.3885369893e-36	3.9125744961e-57	1.1436870758e-39	7.5485528665e-34	1.3991572831e-52	6.5191552465e-46	6.6914161844e-27	7.3754411125e-104	1.6101010021e-70	1.8155479682e-55	1.5049637220e-40	2.6901448593e-58	4.0158910102e-56	2.0538236612e-43	1.0782723805e-66	6.3346342555e-67	2.1042097983e-48	2.5749809886e-64	9.0624204981e-60	1.7973201384e-34	1.6494168385e-46
3.1273429248e-05	9.2000000000e+02	4.6121085772e+14	2.4620926737e+14	3.2111145901e+00	7.5809871932e-27	8.6003178273e-29	3.6135135666e-08	1.4181098308e-01	2.0976422038e-23	3.9454680887e-24	2.4282633741e-22	2.2214189895e-26	6.4703740111e-08	5.9372491327e-15	2.0504215803e-15	6.9764685214e-20	1.3109839871e-12	4.3238459709e-12	5.1235037680e-06	3.0465227608e-42	4.1564440663e-19	3.2700729455e-24	1.5956805103e-34	1.9743389476e-28	3.1767282029e-02	1.1251156964e-07	2.0459326925e-35	4.4268375498e-33	1.0290252743e-33	8.0231503876e-27	1.8559795361e-39	5.0913749466e-27	3.0495796120e-37	2.0268202659e-53	1.2131902176e-24	6.1790643443e-25	1.0664386358e-28	1.3685883440e-39	4.0033092866e-23	2.2985766181e-31	3.9731298367e-34	1.7124382150e-40	4.2840370123e-73	1.5992539435e-40	2.4859156040e-21	5.1706417279e-27	8.1969278794e-38	1.0919554780e-37	5.6635542486e-56	7.1775430353e-17	7.2491574262e-35	1.9158310018e-22	8.2304810133e-01	5.6772654218e-17	1.2084176636e-25	1.3915134051e-06	1.4442692603e-32	1.7897269683e-22	1.4170666160e-09	3.9013480877e-20	1.7453942035e-29	3.3145867032e-20	3.8550147788e-21	9.0718040764e-39	1.5249625882e-62	5.6741415058e-24	1.2002296182e-32	3.3669271448e-03	1.0507151772e-28	9.7573767855e-69	4.9126230036e-87	4.1860423344e-107	2.4282077862e-33	3.0324701873e-11	3.9039349041e-30	5.9097247371e-21	8.4138816779e-59	1.5741463809e-36	1.6326525625e-46	8.3379563779e-59	4.5934964630e-54	2.1540841725e-53	1.0009234189e-49	4.4213746515e-29	5.8883462196e-64	2.0773201027e-30	8.4481919761e-36	6.9729131753e-44	4.1542922018e-51	3.3917131587e-36	2.7552883236e-57	2.5981907798e-39	1.2981895137e-34	7.7899670850e-53	1.1708999848e-45	7.5388506244e-27	4.1063823588e-104	7.0873194233e-71	2.5780777220e-55	1.0598187444e-40	9.7772631094e-58	2.2359045984e-56	3.6888746344e-43	9.6045387107e-67	3.5268309650e-67	3.7793014192e-48	2.2935795406e-64	2.6040143935e-59	2.4437597324e-35	7.2347391898e-47
5.0033483236e-05	9.2000000000e+02	7.3788126603e+14	3.9390330858e+14	3.2111534496e+00	8.5162586690e-27	5.3756287528e-29	2.8568411723e-08	1.4181154752e-01	1.6584013123e-23	3.9453633702e-24	5.9301153998e-23	1.7562522218e-26	6.4703719242e-08	9.4985833612e-15	2.5934225131e-15	6.9764371338e-20	2.0973414455e-12	5.4690248931e-12	8.1968763712e-06	1.2474787713e-41	3.2860953511e-19	4.1360841584e-24	1.5956866601e-34	1.9743465567e-28	3.1766438880e-02	1.7999455292e-07	4.9964172321e-36	4.2238990369e-34	6.4319225906e-34	2.0534795898e-26	1.2158109570e-38	1.3031371084e-26	1.9977558823e-36	1.3277834579e-52	9.5915130106e-25	7.8154617876e-25	2.6043732506e-29	1.3058484579e-40	4.0032030330e-23	1.4367253405e-31	6.3563548935e-34	1.0703595252e-40	7.1831120598e-72	9.9961369498e-41	2.4859148022e-21	8.2721426011e-27	2.0979657100e-37	2.7948094499e-37	2.3190496260e-55	9.0783290008e-17	1.4668690643e-34	5.9178805052e-23	8.2304439838e-01	7.1809300804e-17	1.9333123155e-25	2.2261742060e-06	3.6965248124e-32	6.9925795636e-23	2.2671142445e-09	1.9279997561e-20	4.4674711945e-29	2.0718737929e-20	4.8759357429e-21	1.8356897985e-38	4.9367203606e-62	1.7527136586e-24	1.4485308089e-33	3.3669401210e-03	1.6809716352e-28	3.9953595389e-68	3.2181770602e-86	4.3870624767e-106	3.0713617718e-33	1.1847796914e-11	6.2454645323e-30	3.6938735120e-21	2.1534375672e-58	1.5019831443e-37	6.0864814990e-48	2.8997868225e-59	5.1601992032e-54	9.4756882155e-54	1.4222160361e-49	3.1115667044e-29	2.5902593144e-64	2.9516846600e-30	2.4290377651e-35	7.8331661516e-44	1.8274484425e-51	4.8192986128e-36	1.9390492968e-57	5.9062178749e-39	2.2312014204e-35	4.3343637431e-53	2.1043896655e-45	8.4880946902e-27	2.2848242536e-104	3.1176827016e-71	3.6632161093e-55	7.4585637967e-41	3.5557502436e-57	1.2440751893e-56	6.6298527649e-43	8.5495563099e-67	1.9622972911e-67	6.7921664068e-48	2.0415859626e-64	7.4871041289e-59	3.3206075108e-36	3.1754007927e-47
8.0047566073e-05	9.2000000000e+02	1.1805289479e+15	6.3019800103e+14	3.2112156100e+00	9.5706540099e-27	3.3600201015e-29	2.2586078613e-08	1.4181245007e-01	1.3111345890e-23	3.9451958324e-24	1.4482310415e-23	1.3884863859e-26	6.4703685525e-08	1.5195939728e-14	3.2801746343e-15	6.9763868703e-20	3.3553278387e-12	6.9174957812e-12	1.3113829097e-05	5.1080154089e-41	2.5979919610e-19	5.2313762805e-24	1.5956964936e-34	1.9743587238e-28	3.1765089934e-02	2.8794521776e-07	1.2202066982e-36	4.0304202827e-35	4.0202532931e-34	5.2556345847e-26	7.9641370413e-38	3.3353406517e-26	1.3086707724e-35	8.6982232909e-52	7.5830647113e-25	9.8851038448e-25	6.3603048691e-30	1.2460331237e-41	4.0030330390e-23	8.9802072397e-32	1.0169035504e-33	6.6902490589e-41	1.2043531153e-70	6.2480544385e-41	2.4859135068e-21	1.3233866105e-26	5.3695273591e-37	7.1530272077e-37	9.4954743807e-55	1.1482318967e-16	2.9681373161e-34	1.8280287870e-23	8.2303846855e-01	9.0828596529e-17	3.0930643645e-25	3.5614345499e-06	9.4608116603e-32	2.7320987171e-23	3.6270825752e-09	9.5281388471e-21	1.1434915628e-28	1.2951096263e-20	6.1671507673e-21	3.7144527355e-38	1.5980965710e-61	5.4141553471e-25	1.7482743189e-34	3.3669608702e-03	2.6892551668e-28	1.6359325512e-67	2.1080864250e-85	4.5974947952e-105	3.8848896331e-33	4.6289368769e-12	9.9911448188e-30	2.3088441973e-21	5.5112706984e-58	1.4331837187e-38	2.2691604889e-49	1.0080881612e-59	5.7990818639e-54	4.1666338404e-54	2.0216244213e-49	2.1888834627e-29	1.1389921243e-64	4.1957322405e-30	6.9865848767e-35	8.8029880201e-44	8.0356258553e-52	6.8504443220e-36	1.3640565484e-57	1.3431153663e-38	3.8333233259e-36	2.4106938558e-53	3.7835823964e-45	9.5529609801e-27	1.2707947133e-104	1.3709114078e-71	5.2071531021e-55	5.2468860925e-41	1.2936206972e-56	6.9194112054e-57	1.1920287360e-42	7.6073787430e-67	1.0913553882e-67	1.2211528851e-47	1.8165109231e-64	2.1534983617e-58	4.5103691515e-37	1.3942909898e-47
1.2806751397e-04	9.2000000000e+02	1.8887388331e+15	1.0082491606e+15	3.2113150513e+00	1.0758070928e-26	2.1001534484e-29	1.7856358940e-08	1.4181389366e-01	1.0365827826e-23	3.9449278150e-24	3.5369125184e-24	1.0977253606e-26	6.4703631314e-08	2.4310200540e-14	4.1486842326e-15	6.9763064183e-20	5.3677378157e-12	8.7495721021e-12	2.0980235110e-05	2.0914896311e-40	2.0539720016e-19	6.6165868625e-24	1.5957122216e-34	1.9743781841e-28	3.1762931968e-02	4.6061885160e-07	2.9800247489e-37	3.8460428270e-36	2.5128268765e-34	1.3450636603e-25	5.2164985145e-37	8.5365496561e-26	8.5722585844e-35	5.6979667264e-51	5.9951696684e-25	1.2502570017e-24	1.5533323943e-30	1.1890315206e-42	4.0027610924e-23	5.6130060630e-32	1.6268420419e-33	4.1816861825e-41	2.0191374454e-69	3.9052960037e-41	2.4859114240e-21	2.1171309224e-26	1.3742266982e-36	1.8306789973e-36	3.8877679163e-54	1.4522554730e-16	6.0056324142e-34	5.6469301597e-24	8.2302897723e-01	1.1488548433e-16	4.9485627030e-25	5.6974602276e-06	2.4212859087e-31	1.0675019895e-23	5.8028710329e-09	4.7089415813e-21	2.9269070056e-28	8.0958914526e-21	7.8001440841e-21	7.5157831121e-38	5.1730153245e-61	1.6724946728e-25	2.1101868998e-35	3.3669940566e-03	4.3022697336e-28	6.6981320237e-67	1.3808231647e-84	4.8176166792e-104	4.9139477028e-33	1.8085439523e-12	1.5982587550e-29	1.4431244327e-21	1.4104085240e-57	1.3676206387e-39	8.4607002167e-51	3.5036767550e-60	6.5185653921e-54	1.8316975895e-54	2.8743270498e-49	1.5394033247e-29	5.0071869040e-65	5.9655173919e-30	2.0099275931e-34	9.8951617516e-44	3.5325485926e-52	9.7398988705e-36	9.5931703152e-58	3.0549940414e-38	6.5844757569e-37	1.3404586385e-53	6.8042744521e-45	1.0748642622e-26	7.0663669382e-105	6.0267402216e-72	7.4035616699e-55	3.6900823694e-41	4.7072795737e-56	3.8475988506e-57	2.1437524829e-42	6.7673248993e-67	6.0681045848e-68	2.1959587094e-47	1.6157948406e-64	6.1952668654e-58	6.1251244850e-38	6.1238355822e-48
