#p(bar)         	T(K)            	e-              	C               	H               	He              	N               	O               	Si              	SiO2(s,l)       	SiC(s)          	C(s)            	Si(s,l)         
1.8650055793e-06	9.2000000000e+02	0.0000000000e+00	2.9934260286e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9963524591e-02	9.9998270947e-01	7.2041604941e+09	0.0000000000e+00	1.9928520845e+11	0.0000000000e+00
2.9837466215e-06	9.2000000000e+02	0.0000000000e+00	2.9933991181e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9963846863e-02	9.9999346474e-01	1.1525770698e+10	0.0000000000e+00	3.1882552662e+11	0.0000000000e+00
4.7735766428e-06	9.2000000000e+02	0.0000000000e+00	2.9933539282e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9963971303e-02	9.9999761772e-01	1.8439702532e+10	0.0000000000e+00	5.1006868484e+11	0.0000000000e+00
7.6370577657e-06	9.2000000000e+02	0.0000000000e+00	2.9932810414e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964020029e-02	9.9999924387e-01	2.9501022008e+10	0.0000000000e+00	8.1601948844e+11	0.0000000000e+00
1.2218238123e-05	9.2000000000e+02	0.0000000000e+00	2.9931641912e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964039127e-02	9.9999988124e-01	4.7197638898e+10	0.0000000000e+00	1.3054688443e+12	0.0000000000e+00
1.9547518066e-05	9.2000000000e+02	0.0000000000e+00	2.9929771471e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964046631e-02	1.0000000000e+00	7.5509935246e+10	0.0000000000e+00	2.0884452160e+12	0.0000000000e+00
3.1273429248e-05	9.2000000000e+02	0.0000000000e+00	2.9926778583e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964049590e-02	1.0000000000e+00	1.2080616700e+11	0.0000000000e+00	3.3409088068e+12	0.0000000000e+00
5.0033483236e-05	9.2000000000e+02	0.0000000000e+00	2.9921990152e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964050763e-02	1.0000000000e+00	1.9327517869e+11	0.0000000000e+00	5.3441924354e+12	0.0000000000e+00
8.0047566073e-05	9.2000000000e+02	0.0000000000e+00	2.9914329143e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051232e-02	1.0000000000e+00	3.0921905382e+11	0.0000000000e+00	8.5479315704e+12	0.0000000000e+00
1.2806751397e-04	9.2000000000e+02	0.0000000000e+00	2.9902072303e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051420e-02	1.0000000000e+00	4.9472233578e+11	0.0000000000e+00	1.3670308799e+13	0.0000000000e+00
2.0489688444e-04	9.2000000000e+02	0.0000000000e+00	2.9882462397e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051495e-02	1.0000000000e+00	7.9152560192e+11	0.0000000000e+00	2.1857317787e+13	0.0000000000e+00
3.2782387097e-04	9.2000000000e+02	0.0000000000e+00	2.9851087591e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051523e-02	1.0000000000e+00	1.2664308996e+12	0.0000000000e+00	3.4934712613e+13	0.0000000000e+00
5.2451745122e-04	9.2000000000e+02	0.0000000000e+00	2.9800887946e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051528e-02	1.0000000000e+00	2.0263709965e+12	0.0000000000e+00	5.5803788367e+13	0.0000000000e+00
8.3927047643e-04	9.2000000000e+02	0.0000000000e+00	2.9720564417e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051520e-02	1.0000000000e+00	3.2425740742e+12	0.0000000000e+00	8.9055854814e+13	0.0000000000e+00
1.3430128353e-03	9.2000000000e+02	0.0000000000e+00	2.9592029578e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051499e-02	1.0000000000e+00	5.1893672773e+12	0.0000000000e+00	1.4190728121e+14	0.0000000000e+00
2.1493954060e-03	9.2000000000e+02	0.0000000000e+00	2.9386319349e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051460e-02	1.0000000000e+00	8.3066243433e+12	0.0000000000e+00	2.2557204827e+14	0.0000000000e+00
3.4406869063e-03	9.2000000000e+02	0.0000000000e+00	2.9057027739e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051395e-02	1.0000000000e+00	1.3300614484e+13	0.0000000000e+00	3.5713993344e+14	0.0000000000e+00
5.5096278411e-03	9.2000000000e+02	0.0000000000e+00	2.8529742586e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051286e-02	1.0000000000e+00	2.1307760333e+13	0.0000000000e+00	5.6176047286e+14	0.0000000000e+00
8.8274759515e-03	9.2000000000e+02	0.0000000000e+00	2.7684997324e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964051102e-02	1.0000000000e+00	3.4162822878e+13	0.0000000000e+00	8.7400468191e+14	0.0000000000e+00
1.4155658951e-02	9.2000000000e+02	0.0000000000e+00	2.6330654574e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964050786e-02	1.0000000000e+00	5.4843882085e+13	0.0000000000e+00	1.3344594228e+15	0.0000000000e+00
2.2731587982e-02	9.2000000000e+02	0.0000000000e+00	2.4156984404e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964050238e-02	1.0000000000e+00	8.8225246564e+13	0.0000000000e+00	1.9694780101e+15	0.0000000000e+00
3.6584467749e-02	9.2000000000e+02	0.0000000000e+00	2.0663420143e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964049284e-02	1.0000000000e+00	1.4238785346e+14	0.0000000000e+00	2.7188841275e+15	0.0000000000e+00
5.9088352746e-02	9.2000000000e+02	0.0000000000e+00	1.5039764388e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964047596e-02	1.0000000000e+00	2.3098959002e+14	0.0000000000e+00	3.2103251083e+15	0.0000000000e+00
9.5969479284e-02	9.2000000000e+02	0.0000000000e+00	5.9786755511e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964044437e-02	1.0000000000e+00	3.7776583316e+14	0.0000000000e+00	2.0871001161e+15	0.0000000000e+00
1.5493399885e-01	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964042645e-02	9.9999999864e-01	6.1480124254e+14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4787250902e-01	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964042616e-02	9.9999999768e-01	9.9232589573e+14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
3.9656099491e-01	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964042578e-02	9.9999999643e-01	1.6048920223e+15	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
6.3444156557e-01	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964042509e-02	9.9999999411e-01	2.5967074013e+15	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0150168708e+00	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964037659e-02	9.9999983226e-01	4.1944914120e+15	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.6238835912e+00	9.2000000000e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9964043124e-02	1.0000000000e+00	6.7545783982e+15	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
