#p(bar)         	T(K)            	e-              	C               	H               	He              	N               	O               	Si              	SiO2(s,l)       	SiC(s)          	C(s)            	Si(s,l)         
2.9239606870e-07	9.2000000000e+02	0.0000000000e+00	9.2808101030e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8490868920e-01	1.0000000000e+00	7.7772588340e+09	3.3195618377e+11	1.7160020068e+11	0.0000000000e+00
4.3828773664e-07	9.2000000000e+02	0.0000000000e+00	9.5229624222e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.2566401571e-01	1.0000000000e+00	2.1632298689e+10	4.9053079522e+11	2.8841610753e+11	0.0000000000e+00
6.6890544475e-07	9.2000000000e+02	0.0000000000e+00	9.6895716973e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.9051857180e-01	1.0000000000e+00	4.3540522037e+10	7.4127623091e+11	4.7313062567e+11	0.0000000000e+00
1.0356212199e-06	9.2000000000e+02	0.0000000000e+00	9.8002734999e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.0065868454e-01	1.0000000000e+00	7.8369577959e+10	1.1399040276e+12	7.6678403261e+11	0.0000000000e+00
1.6206347565e-06	9.2000000000e+02	0.0000000000e+00	9.8728568134e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.7286442760e-01	1.0000000000e+00	1.3393188016e+11	1.7758293353e+12	1.2352442644e+12	0.0000000000e+00
2.5553825393e-06	9.2000000000e+02	0.0000000000e+00	9.9197270142e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.1948879258e-01	1.0000000000e+00	2.2271083778e+11	2.7919280876e+12	1.9837604392e+12	0.0000000000e+00
4.0500387910e-06	9.2000000000e+02	0.0000000000e+00	9.9534426686e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.4964891741e-01	1.0000000000e+00	3.6484502959e+11	4.4186916673e+12	3.1821211547e+12	0.0000000000e+00
6.4407511740e-06	9.2000000000e+02	0.0000000000e+00	9.9781929244e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.6910532832e-01	1.0000000000e+00	5.9244170734e+11	7.0235960985e+12	5.1010173597e+12	0.0000000000e+00
1.0265232490e-05	9.2000000000e+02	0.0000000000e+00	9.9908221975e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.8107685057e-01	1.0000000000e+00	9.5618312078e+11	1.1186713194e+13	8.1677279927e+12	0.0000000000e+00
1.6383709867e-05	9.2000000000e+02	0.0000000000e+00	9.9993167116e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.8866120505e-01	1.0000000000e+00	1.5382157929e+12	1.7848231728e+13	1.3074756784e+13	0.0000000000e+00
